Features,Train,Test
5,0.882627086447,0.690102319927
6,0.883538917454,0.697295106879
7,0.884298776627,0.69587681086
8,0.888807274385,0.698713402897
9,0.891720067881,0.702968290953
10,0.898204199488,0.704893121264
11,0.898685443631,0.705804882991
12,0.890326992731,0.708337554452
13,0.88979509131,0.712997669942
14,0.890124363618,0.712896363084
15,0.890428307287,0.712997669942
16,0.891061523264,0.714415965961
17,0.891289481016,0.71380812481
18,0.890757579595,0.713909431669
19,0.890732250956,0.711579373924
20,0.890934880069,0.714314659102
21,0.891314809655,0.714314659102
22,0.890478964565,0.714112045385
23,0.890782908234,0.714314659102
24,0.89174539652,0.713605511093
25,0.891213495099,0.714618579678
26,0.891086851903,0.714010738527
27,0.890529621843,0.713098976801
28,0.890757579595,0.714618579678
29,0.890529621843,0.71512511397
30,0.891390795573,0.714719886536
