StoreNames,Index,StoreName,No_Coupons,Coupons,Coupon_N_A_Offer,CashBack_Pct_Dollars,CashBack,CB_NOD_Up_To,Total,AvgCashBack,TotalPurchAmt,,
ABSINTHE,7,ABSINTHE,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,7,0,280,,21074
National Pen,1284,National Pen,13,13 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,928,37,"23,200",,
HORNE,879,HORNE,7,7 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,1001,0,"33,367",,
Palms Casino Resort,1396,Palms Casino Resort,4,4 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,1001,25,"40,040",,
JS Trunk and Co.,996,JS Trunk and Co.,2,2 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,1011,0,"40,440",,
Compex,422,Compex,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,1017,1,"20,340",,
GolfEtail.com,776,GolfEtail.com,8,8 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,1019,0,"50,950",,
FreedomVoice,709,FreedomVoice,1,1 Coupon,Coupon,$15.00 ,$15.00 Cash Back,Dollars back,1050,15,N/a,,
The Filter Source,662,The Filter Source,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,1051,0,"26,275",,
Buddha Groove,292,Buddha Groove,0,No Coupons Available,N/A,2.50%,2.5% Cash Back,Cash Back,1052,0,"42,080",,
Ancestry.ca,78,Ancestry.ca,2,2 Coupons,Coupons,12.50%,12.5% Cash Back,Cash Back,1057,1,"8,456",,
Food52,688,Food52,4,4 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,1059,0,"35,300",,
Vestiaire Collective,1972,Vestiaire Collective,8,8 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1068,43,"26,700",,
The Hut,898,The Hut,6,6 Coupons,Coupons,3.00%,Up to 3.0%,Up to Pct off,1075,0,"35,833",,
Buytopia.ca,311,Buytopia.ca,1,1 Coupon,Coupon,6.00%,6.0% Cash Back,Cash Back,1076,1,"17,933",,
Royal Doulton,1599,Royal Doulton,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,1076,43,"26,900",,
Sebago,1638,Sebago,8,8 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1078,43,"26,950",,
Fanzz,647,Fanzz,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1082,0,"27,050",,
Lulu Frost,1150,Lulu Frost,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1097,44,"27,425",,
MSC Industrial Supply,1262,MSC Industrial Supply,5,5 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,1098,11,"109,800",,
Field Supply,658,Field Supply,9,9 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,1106,0,"44,240",,
Skirt Sports,1691,Skirt Sports,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,1116,45,"27,900",,
JD Williams,963,JD Williams,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1144,0,"28,600",,
Russell Stover,1603,Russell Stover,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,1147,57,"22,940",,
Waist Shaperz,2006,Waist Shaperz,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,1157,46,"28,925",,
Blue Mountain,241,Blue Mountain,5,5 Coupons,Coupons,15.00%,15.0% Cash Back,Cash Back,1162,2,"7,747",,
Monster.com,1244,Monster.com,3,3 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,1169,58,"23,380",,
Ledbury,1080,Ledbury,2,2 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1171,47,"29,275",,
MailPix,1173,MailPix,5,5 Coupons,Coupons,9.00%,9.0% Cash Back,Cash Back,1171,105,"13,011",,
TV Store Online,1933,TV Store Online,5,5 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,1172,88,"15,627",,
Holiday Autos,864,Holiday Autos,0,No Coupons Available,N/A,2.50%,2.5% Cash Back,Cash Back,1179,0,"47,160",,
Shnoop,1654,Shnoop,7,7 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,1188,30,"47,520",,
TechRabbit,1838,TechRabbit,78,78 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,1191,24,"59,550",,
Punch! Software,1513,Punch! Software,1,1 Coupon,Coupon,7.50%,7.5% Cash Back,Cash Back,1193,89,"15,907",,
Cherishables,376,Cherishables,4,4 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,1196,1,"15,947",,
Okabashi,1350,Okabashi,2,2 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,1200,36,"40,000",,
FlowerShopping.com,682,FlowerShopping.com,5,5 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1227,0,"30,675",,
Rocket Dog,1585,Rocket Dog,3,3 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1232,49,"30,800",,
Frank + Oak,703,Frank + Oak,1,1 Coupon,Coupon,3.50%,3.5% Cash Back,Cash Back,1235,0,"35,286",,
Photos.com by Getty Images,1470,Photos.com by Getty Images,0,No Coupons Available,N/A,6.00%,6.0% Cash Back,Cash Back,1236,74,"20,600",,
Spartan Race,1734,Spartan Race,31,31 Coupons,Coupons,5.00%,Up to 5.0%,Up to Pct off,1250,63,"25,000",,
MuscleEgg,1264,MuscleEgg,2,2 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,1253,19,"83,533",,
New York SightSeeing,1302,New York SightSeeing,0,No Coupons Available,N/A,7.50%,7.5% Cash Back,Cash Back,1255,94,"16,733",,
OASAP,1341,OASAP,25,25 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,1266,76,"21,100",,
PUBLIC Bikes,1508,PUBLIC Bikes,4,4 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,1271,32,"50,840",,
2020AVE,2114,2020AVE,5,5 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,1289,64,"25,780",,
Bulu Box,300,Bulu Box,3,3 Coupons,Coupons,15.00%,Up to 15.0%,Up to Pct off,1316,2,"8,773",,
BiggerBooks,216,BiggerBooks,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,1345,0,"53,800",,
800Bear,2131,800Bear,5,5 Coupons,Coupons,7.00%,7.0% Cash Back,Cash Back,1368,96,"19,543",,
Life Stride,1099,Life Stride,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,1376,69,"27,520",,
Wedgwood,2022,Wedgwood,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,1381,55,"34,525",,
Royal Albert,1598,Royal Albert,0,No Coupons Available,N/A,4.00%,4.0% Cash Back,Cash Back,1383,55,"34,575",,
Addition Elle,21,Addition Elle,7,7 Coupons,Coupons,1.00%,1.0% Cash Back,Cash Back,1401,0,"140,100",,
Cuddl Duds,468,Cuddl Duds,21,21 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,1415,1,"23,583",,
ILoveDooney,909,ILoveDooney,3,3 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,1415,0,"70,750",,
Sit4Life,1681,Sit4Life,11,11 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,1415,42,"47,167",,
Dr. Fuhrman,550,Dr. Fuhrman,5,5 Coupons,Coupons,5.00%,Up to 5.0%,Up to Pct off,1421,1,"28,420",,
Peeps,1430,Peeps,6,6 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1427,57,"35,675",,
Armed Forces Eyewear,99,Armed Forces Eyewear,6,6 Coupons,Coupons,$2.50 ,4.0% Cash Back,Cash Back,1431,36,572,,
Jabra,946,Jabra,9,9 Coupons,Coupons,6.00%,6.0% Cash Back,Cash Back,1431,1,"23,850",,
Burkes Outlet,302,Burkes Outlet,8,8 Coupons,Coupons,3.25%,3.25% Cash Back,Cash Back,1434,0,"44,123",,
Cate & Chloe,350,Cate & Chloe,3,3 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,1442,1,"19,227",,
Home and Patio Decor Center,868,Home and Patio Decor Center,15,15 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,1443,0,"57,720",,
The Dreslyn,556,The Dreslyn,1,1 Coupon,Coupon,2.50%,2.5% Cash Back,Cash Back,1447,0,"57,880",,
Bandier,152,Bandier,2,2 Coupons,Coupons,$3.00 ,3.0% Cash Back,Cash Back,1453,44,484,,
Salt Life,1612,Salt Life,2,2 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,1467,22,"97,800",,
Wonder Workshop,2052,Wonder Workshop,0,No Coupons Available,N/A,5.00%,5.0% Cash Back,Cash Back,1468,73,"29,360",,
Creative Recreation,455,Creative Recreation,10,10 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1472,1,"36,800",,
Condor,423,Condor,7,7 Coupons,Coupons,$9.00 ,Up to $9.00,Up to Dollars,1474,9,N/a,,
Linens Bargains,1113,Linens Bargains,8,8 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,1480,59,"37,000",,
Colorescience,413,Colorescience,0,No Coupons Available,N/A,6.00%,6.0% Cash Back,Cash Back,1487,1,"24,783",,
