StoreNames,Index,StoreName,No_Coupons,Coupons,Coupon_N_A_Offer,CashBack_Pct_Dollars,CashBack,CB_NOD_Up_To,Total,AvgCashBack,TotalPurchAmt
Malwarebytes,1176,Malwarebytes,2,2 Coupons,Coupons,15.00%,15.0% Cash Back,Cash Back,15036,"2,255","100,240"
Jetsetter,968,Jetsetter,5,5 Coupons,Coupons,1.50%,1.5% Cash Back,Cash Back,15069,2,"1,004,600"
Gemvara,745,Gemvara,1,1 Coupon,Coupon,3.00%,3.0% Cash Back,Cash Back,15164,5,"505,467"
OfficeDesigns.com,1345,OfficeDesigns.com,5,5 Coupons,Coupons,5.00%,5.0% Cash Back was 2.5%,Cash Back Promo,15179,759,"303,580"
Michele,1217,Michele,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,15225,761,"304,500"
Overland.com,1385,Overland.com,1,1 Coupon,Coupon,5.00%,5.0% Cash Back,Cash Back,15262,763,"305,240"
Aerosoles,28,Aerosoles,6,6 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,15349,3,"767,450"
La Redoute,1058,La Redoute,1,1 Coupon,Coupon,4.00%,4.0% Cash Back,Cash Back,15394,616,"384,850"
Busch Gardens,305,Busch Gardens,9,9 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,15400,4,"616,000"
ShopPBS,1667,ShopPBS,15,15 Coupons,Coupons,3.50%,3.5% Cash Back,Cash Back,15494,542,"442,686"
Craft Beer Club,450,Craft Beer Club,2,2 Coupons,Coupons,5.00%,5.0% Cash Back,Cash Back,15865,8,"317,300"
Need Supply Co.,1293,Need Supply Co.,4,4 Coupons,Coupons,2.50%,2.5% Cash Back,Cash Back,15918,398,"636,720"
Lorex Technology,1131,Lorex Technology,4,4 Coupons,Coupons,4.00%,4.0% Cash Back,Cash Back,15919,637,"397,975"
Pugster,1510,Pugster,5,5 Coupons,Coupons,7.50%,7.5% Cash Back,Cash Back,16005,"1,200","213,400"
MAC Cosmetics,1160,MAC Cosmetics,8,8 Coupons,Coupons,3.00%,3.0% Cash Back,Cash Back,16118,484,"537,267"
Cookies By Design,428,Cookies By Design,9,9 Coupons,Coupons,2.00%,2.0% Cash Back,Cash Back,16159,3,"807,950"
Brickhouse Security,282,Brickhouse Security,7,7 Coupons,Coupons,8.50%,8.5% Cash Back,Cash Back,16166,14,"190,188"
