OverallRating,Publisher,WrittenBy,NumOverRating,Price,RelDate,NumStoryRating,AmazonRating,Length,Title,Catagory,PerformRating,CompOrAb,NumPerformRating,StoryRating,NumAmazonRating,NarratedBy
4.4,Macmillan Audio,B. A. Paris,(23513),$27.99,08-09-16 ,(21304),4.0,8 hrs and 23 mins,Behind Closed Doors,Mysteries & Thrillers,4.7,Unabridged,(21348),4.3,"2,607",Georgia Maguire
4.6,"Dreamscape Media, LLC",Fredrik Backman,(32385),$34.99,08-05-14 ,(29572),4.6,9 hrs and 9 mins,A Man Called Ove,Fiction,4.7,Unabridged,(29643),4.6,10,George Newbern
4.5,Brilliance Audio,Gregg Hurwitz,(1239),$20.99,01-17-17 ,(1156),4.2,12 hrs and 15 mins,"The Nowhere Man: Evan Smoak, Book 2",Mysteries & Thrillers,4.7,Unabridged,(1159),4.4,96,Scott Brick
