Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,
1|1|1|7|The Monster|EMINEM featuring RIHANNA|2013-11-16|3|1|29|20131228,,,,
2|2|2|10|Timber|PITBULL featuring KE$HA|2013-10-26|49|1|39|20131228,,,,
3|3|3|26|Counting Stars|ONEREPUBLIC|2013-07-06|32|2|68|20131228,,,,
4|8|4|6|Say Something|A GREAT BIG WORLD featuring CHRISTINA AGUILERA|2013-11-23|16|4|26|20131228,,,,
5|4|1|24|Royals|LORDE|2013-07-20|90|1|44|20131228,,,,
6|7|6|14|Demons|IMAGINE DRAGONS|2013-09-28|46|6|41|20131228,,,,
7|6|4|25|Wake Me Up!|AVICII|2013-07-13|81|4|53|20131228,,,,
8|5|1|17|Wrecking Ball|MILEY CYRUS|2013-09-07|50|1|32|20131228,,,,
9|9|9|20|Let Her Go|PASSENGER|2013-08-17|95|5|43|20131228,,,,
10|11|6|7|Story Of My Life|ONE DIRECTION|2013-11-16|6|6|32|20131228,,,,
11|10|4|19|Hold On, We're Going Home|DRAKE featuring MAJID JORDAN|2013-08-24|21|4|33|20131228,,,
12|12|1|19|Roar|KATY PERRY|2013-08-24|85|1|35|20131228,,,,
13|16|13|13|Burn|ELLIE GOULDING|2013-10-05|99|13|34|20131228,,,,
14|15|14|25|Sweater Weather|THE NEIGHBOURHOOD|2013-07-13|96|14|35|20131228,,,,
15|17|15|13|White Walls|MACKLEMORE & RYAN LEWIS featuring SCHOOLBOY Q & HOLLIS|2013-10-05|100|15|22|20131228,,,,
16|18|13|8|Do What U Want|LADY GAGA featuring R. KELLY|2013-11-09|13|13|19|20131228,,,,
17|14|14|8|Unconditionally|KATY PERRY|2013-11-09|30|14|20|20131228,,,,
18|21|11|12|23|MIKE WILL MADE-IT feat MILEY CYRUS, WIZ KHALIFA & JUICY J|2013-10-12|11|11|22|20131228,,,
19|20|19|12|Stay The Night|ZEDD featuring HAYLEY WILLIAMS|2013-10-12|86|18|21|20131228,,,,
20|19|4|18|Applause|LADY GAGA|2013-08-31|6|4|23|20131228,,,,
21|23|19|11|My Hitta|YG X JEEZY X RICH HOMIE QUAN|2013-10-19|67|19|28|20131228,,,,
22|36|17|13|Dark Horse|KATY PERRY featuring JUICY J|2013-10-05|17|1|57|20131228,,,,
23|32|23|12|Team|LORDE|2013-10-12|90|6|38|20131228,,,,
24|29|24|18|Pompeii|BASTILLE|2013-08-31|95|5|53|20131228,,,,
25|24|1|35|Blurred Lines|ROBIN THICKE featuring T.I. & PHARRELL|2013-05-04|94|1|48|20131228,,,,
26|33|26|11|Marry Me|JASON DERULO|2013-10-19|72|26|17|20131228,,,,
27|26|26|2|All I Want For Christmas Is You|MARIAH CAREY|2013-12-21|26|26|3|20131228,,,,
28|22|4|23|Holy Grail|JAY Z featuring JUSTIN TIMBERLAKE|2013-07-27|8|4|27|20131228,,,,
29|28|28|9|Stay|FLORIDA GEORGIA LINE|2013-11-02|85|28|20|20131228,,,,
30|25|3|66|Radioactive|IMAGINE DRAGONS|2012-09-29|91|3|85|20131228,,,,
31|27|23|21|Love More|CHRIS BROWN featuring NICKI MINAJ|2013-08-10|56|23|26|20131228,,,,
32|30|30|11|It Won't Stop|SEVYN STREETER featuring CHRIS BROWN|2013-10-19|90|30|20|20131228,,,,
33|31|26|26|Brave|SARA BAREILLES|2013-07-06|100|23|41|20131228,,,,
34|39|7|9|Rap God|EMINEM|2013-11-02|7|7|20|20131228,,,,
35|64|35|5|Best Day Of My Life|AMERICAN AUTHORS|2013-11-30|93|11|36|20131228,,,,
36|43|36|13|Carolina|PARMALEE|2013-10-05|93|36|19|20131228,,,,
37|40|37|6|Drink A Beer|LUKE BRYAN|2013-11-23|79|31|20|20131228,,,,
38|35|17|47|Sail|AWOLNATION|2013-02-09|63|17|59|20131228,,,,
39|48|39|5|Show Me|KID INK featuring CHIS BROWN|2013-11-30|68|13|30|20131228,,,,
40|37|20|12|All Me|DRAKE featuring 2 CHAINZ & BIG SEAN|2013-10-12|20|20|20|20131228,,,,
41|NEW|41|1|Confident|JUSTIN BIEBER featuring CHANCE THE RAPPER|2013-12-28|41|41|1|20131228,,,,
42|41|41|14|Drunk Last Night|ELI YOUNG BAND|2013-09-28|84|41|19|20131228,,,,
