Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,,
1|1|1|14|Too Close|NEXT|1998-02-14|45|1|53|19980516,,,,,,
2|2|2|2|My All|MARIAH CAREY|1998-05-09|2|1|20|19980516,,,,,,
3|3|2|14|You're Still The One|SHANIA TWAIN|1998-02-14|51|2|42|19980516,,,,,,
4|4|4|5|Everybody [Backstreet's Back]|BACKSTREET BOYS|1998-04-18|24|4|22|19980516,,,,,,
5|6|2|9|Frozen|MADONNA|1998-03-21|8|2|20|19980516,,,,,,
6|11|6|10|It's All About Me|MYA & SISQO|1998-03-14|82|6|20|19980516,,,,,,
7|5|1|24|Truly Madly Deeply|SAVAGE GARDEN|1997-12-06|26|1|52|19980516,,,,,,
8|15|8|3|The Arms Of The One Who Loves You|XSCAPE|1998-05-02|24|7|20|19980516,,,,,,
9|8|1|8|All My Life|K-CI & JOJO|1998-03-28|15|1|36|19980516,,,,,,
10|7|2|11|Let's Ride|MONTELL JORDAN feat MASTER P & SILKK THE SHOCKER|1998-03-07|84|2|21|19980516,,,,,,
11|9|5|13|Body Bumpin' Yippie-Yi-Yo|PUBLIC ANNOUNCEMENT|1998-02-21|41|5|22|19980516,,,,,,
12|10|10|2|Turn It Up (Remix) / Fire It Up|BUSTA RHYMES|1998-05-09|10|10|20|19980516,,,,,,
13|14|13|11|I Want You Back|'N SYNC|1998-03-07|25|13|24|19980516,,,,,,
14|12|8|6|Sex And Candy|MARCY PLAYGROUND|1998-04-11|13|8|28|19980516,,,,,,
15|13|6|14|Romeo And Juliet|SYLK-E FYNE featuring CHILL|1998-02-14|87|6|20|19980516,,,,,,
16|22|16|16|Make 'Em Say Uhh!|MASTER P feat FIEND, SILKK THE SHOCKER, MIA X & MYSTIKAL|1998-01-31|41|16|27|19980516,,,,
17|20|17|7|Money, Power & Respect|THE LOX featuring DMX & LIL' KIM|1998-04-04|41|17|20|19980516,,,,,
18|16|3|25|No, No, No|DESTINY'S CHILD|1997-11-29|64|3|35|19980516,,,,
