Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,
1|1|1|11|Bad Boujee|MIGOS featuring LIL UZI VERT|2016-12-03|76|1|11|20170211,,,,,
2|2|1|3|Shape Of You|ED SHEERAN|2017-01-28|1|1|3|20170211,,,,,
3|4|1|26|Closer|THE CHAINSMOKERS featuring HALSEY|2016-08-20|9|1|26|20170211,,,,,
4|6|4|12|Bad Things|MACHINE GUN KELLY x CAMILLA CABELLO|2016-11-26|73|4|12|20170211,,,,,
5|8|5|7|I Don't Wanna Live Forever (Fifty Shades Darker)|ZAYN / TAYLOR SWIFT|2016-12-31|6|5|7|20170211,,,,,
6|3|1|20|Black Beatles|RAE SREMMURD featuring GUCCI MANE|2016-10-01|96|1|20|20170211,,,,,
7|9|7|16|Don't Wanna Know|MAROON 5 featuring KENDRICK LAMAR|2016-10-29|56|7|16|20170211,,,,,
8|5|1|19|Starboy|THE WEEKND featuring DAFT PUNK|2016-10-08|40|1|19|20170211,,,,,
9|11|9|14|Fake Love|DRAKE|2016-11-12|24|9|14|20170211,,,,,
10|13|10|22|Scars To Your Beautiful|ALESSIA CARA|2016-09-17|95|10|22|20170211,,,,,
11|10|4|16|24K Magic|BRUNO MARS|2016-10-29|5|4|16|20170211,,,,,
12|12|4|22|Side To Side|ARIANA GRANDE featuring NICKI MINAJ|2016-09-17|31|4|22|20170211,,,,,
13|7|7|2|Paris|THE CHAINSMOKERS|2017-02-04|7|7|2|20170211,,,,,
14|17|14|14|Love On The Brain|RIHANNA|2016-11-12|80|14|14|20170211,,,,,
15|15|15|12|Bounce Back|BIG SEAN|2016-11-26|61|15|12|20170211,,,,,
16|16|4|25|Let Me Love You|DJ SNAKE featuring JUSTIN BIEBER|2016-08-27|12|4|25|20170211,,,,,
17|14|11|21|Caroline|AMINE|2016-09-24|96|11|21|20170211,,,,,
18|19|18|10|I Feel It Coming|THE WEEKND featuring DAFT PUNK|2016-12-10|48|18|10|20170211,,,,,
19|22|16|16|All Time Low|JON BELLION|2016-10-29|82|16|16|20170211,,,,,
20|23|12|26|Starving|HAILEE STEINFELD & GREY featuring ZEDD|2016-08-20|96|12|26|20170211,,,,,
21|25|17|18|Mercy|SHAWN MENDES|2016-10-15|68|17|18|20170211,,,,,
22|20|2|32|Heathens|TWENTY ONE PILOTS|2016-07-09|14|2|32|20170211,,,,,
23|24|1|38|Can't Stop The Feeling!|JUSTIN TIMBERLAKE|2016-05-28|1|1|38|20170211,,,,,
24|29|20|18|This Town|NIALL HORAN|2016-10-15|63|20|18|20170211,,,,,
25|21|5|33|Broccoli|D.R.A.M. featuring LIL YACHTY|2016-07-02|87|5|33|20170211,,,,,
26|34|26|11|Water Under The Bridge|ADELE|2016-12-03|94|26|11|20170211,,,,,
27|27|1|50|Cheap Thrills|SIA featuring SEAN PAUL|2016-03-05|81|1|50|20170211,,,,,
28|26|6|34|Treat You Better|SHAWN MENDES|2016-06-25|34|6|34|20170211,,,,,
29|32|29|5|iSpy|KYLE featuring LIL YACHTY|2017-01-14|80|29|5|20170211,,,,,
30|18|5|17|Juju On That Beat (TZ Anthem)|ZAY HILFIGERRR & ZAYLON McCALL|2016-10-22|89|5|17|20170211,,,,,
31|30|30|14|Say You Won't Let Go|JAMES ARTHUR|2016-11-12|100|30|14|20170211,,,,,
