Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date
1|1|1|9|Nothing Compares 2 U|SINEAD O'CONNOR|1990-03-17|63|1|21|19900512
2|4|2|5|Vogue|MADONNA|1990-04-14|39|1|24|19900512
3|2|2|14|I Wanna Be Rich|CALLOWAY|1990-02-10|93|2|23|19900512
4|5|4|7|All I Wanna Do Is Make Love To You|HEART|1990-03-31|57|2|20|19900512
5|3|3|11|How Can We Be Lovers|MICHAEL BOLTON|1990-03-03|68|3|18|19900512
6|12|6|9|Hold On|WILSON PHILLIPS|1990-03-17|74|1|25|19900512
7|14|7|13|Sending All My Love|LINEAR|1990-02-17|92|5|27|19900512
8|10|8|6|Alright|JANET JACKSON|1990-04-07|45|4|16|19900512
9|9|9|9|What It Takes|AEROSMITH|1990-03-17|60|9|17|19900512
10|18|10|6|Poison|BELL BIV DEVOE|1990-04-07|52|3|22|19900512
11|7|6|12|Whip Appeal|BABYFACE|1990-02-24|90|6|18|19900512
12|6|2|14|Don't Wanna Fall In Love|JANE CHILD|1990-02-10|75|2|21|19900512
13|16|13|8|This Old Heart Of Mine|ROD STEWART with RONALD ISLEY|1990-03-24|62|10|16|19900512
14|8|3|15|All Around The World|LISA STANSFIELD|1990-02-03|78|3|22|19900512
15|15|15|9|Love Child|SWEET SENSATION|1990-03-17|69|13|15|19900512
16|22|16|6|It Must Have Been Love|ROXETTE|1990-04-07|67|1|25|19900512
17|17|17|10|Room At The Top|ADAM ANT|1990-03-10|84|17|16|19900512
18|26|18|9|The Humpty Dance|DIGITAL UNDERGROUND|1990-03-17|81|11|23|19900512
19|23|19|3|U Can't Touch This|M.C. HAMMER|1990-04-28|27|8|17|19900512
20|11|8|12|Without You|MOTLEY CRUE|1990-02-24|66|8|17|19900512
21|25|21|7|Your Baby Never Looked Good In Blue|EXPOSE|1990-03-31|61|17|16|19900512
22|13|13|12|Heartbeat|SEDUCTION|1990-02-24|69|13|16|19900512
23|30|23|5|Ooh La La (I Can't Get Over You)|PERFECT GENTLEMEN|1990-04-14|84|10|16|19900512
24|32|24|7|Ready Or Not|AFTER 7|1990-03-31|96|7|21|19900512
25|24|1|13|I'll Be Your Everything|TOMMY PAGE|1990-02-17|51|1|18|19900512
26|20|6|21|Here & Now|LUTHER VANDROSS|1989-12-23|78|6|27|19900512
27|31|27|10|Expression|SALT-N-PEPA|1990-03-10|95|26|21|19900512
28|33|28|12|House Of Pain|FASTER PUSSYCAT|1990-02-24|89|28|21|19900512
29|28|1|20|Black Velvet|ALANNAH MYLES|1989-12-30|86|1|25|19900512
30|44|30|4|Turtle Power|PARTNERS IN KRYME|1990-04-21|89|13|16|19900512
31|21|21|13|The Heart Of The Matter|DON HENLEY|1990-02-17|80|21|21|19900512
32|61|32|2|Hold On|EN VOGUE|1990-05-05|61|2|25|19900512
33|36|33|5|Baby It's Tonight|JUDE COLE|1990-04-14|74|16|19|19900512
34|27|1|16|Love Will Lead You Back|TAYLOR DAYNE|1990-01-27|55|1|20|19900512
35|35|35|6|Save Me|FLEETWOOD MAC|1990-04-07|70|33|11|19900512
36|39|36|3|Do You Remember|PHIL COLLINS|1990-04-28|51|4|19|19900512
37|37|37|8|I'll See You In My Dreams|GIANT|1990-03-24|93|20|20|19900512
38|43|38|3|Children Of The Night|RICHARD MARX|1990-04-28|55|13|15|19900512
39|19|9|17|Whole Wide World|A'ME LORAIN|1990-01-20|79|9|20|19900512
40|41|40|6|Cruising For Bruising|BASIA|1990-04-07|76|29|12|19900512
41|45|41|7|Getting Away With It|ELECTRONIC|1990-03-31|88|38|12|19900512
42|52|9|17|Just A Friend|BIZ MARKIE|1990-01-20|71|9|22|19900512
43|56|43|2|I'll Be Your Shelter|TAYLOR DAYNE|1990-05-05|56|4|18|19900512
44|34|24|16|If U Were Mine|U-KREW|1990-01-27|87|24|22|19900512
45|38|7|16|Get Up|TECHNOTRONIC|1990-01-27|86|7|20|19900512
46|47|46|6|Always & Forever|WHISTLE|1990-04-07|87|35|15|19900512
47|50|47|5|Enjoy The Silence|DEPECHE MODE|1990-04-14|96|8|24|19900512
48|51|48|4|Deadbeat Club|B-52'S|1990-04-21|84|30|11|19900512
49|NEW|49|1|Rub You The Right Way|JOHNNY GILL|1990-05-12|49|3|23|19900512
50|49|49|6|All That Glitters Isn't Gold|COVER GIRLS|1990-04-07|89|49|12|19900512
51|53|51|5|Nicety|MICHEL'LE|1990-04-14|98|29|16|19900512
52|40|40|10|Time After Time|TIMMY T|1990-03-10|80|40|17|19900512
53|29|8|15|Forever|KISS|1990-02-03|72|8|17|19900512
54|65|54|3|Sittin' In The Lap Of Luxury|LOUIE LOUIE|1990-04-28|97|19|16|19900512
55|54|54|5|Get A Life|SOUL II SOUL|1990-04-14|94|54|11|19900512
56|58|7|26|No More Lies|MICHEL'LE|1989-11-18|92|7|29|19900512
57|42|3|15|I Wish It Would Rain Down|PHIL COLLINS|1990-02-03|71|3|17|19900512
58|60|58|3|Notice Me|NIKKI|1990-04-28|73|21|15|19900512
59|62|59|3|Dare To Fall In Love|BRENT BOURGEIOX|1990-04-28|75|32|13|19900512
60|48|48|6|Oye Mi Canto|GLORIA ESTEFAN|1990-04-07|78|48|7|19900512
61|64|61|4|Coming Of Age|DAMN YANKEES|1990-04-21|85|60|12|19900512
62|55|55|8|Cuts You Up|PETER MURPHY|1990-03-24|95|55|9|19900512
63|57|31|10|The Secret Garden|QUINCY JONES|1990-03-10|73|31|13|19900512
64|80|64|3|Up All Night|SLAUGHTER|1990-04-28|98|27|14|19900512
65|69|65|3|That's The Way Of The World|D-MOB|1990-04-28|78|59|9|19900512
66|59|59|7|Moonlight On Water|LAURA BRANIGAN|1990-03-31|94|59|9|19900512
67|70|67|6|The Ballad Of Jayne|L.A. GUNS|1990-04-07|99|33|22|19900512
68|81|68|3|Girls Nite Out|TYLER COLLINS|1990-04-28|89|6|21|19900512
69|88|69|2|Love Is|ALANNAH MYLES|1990-05-05|88|36|13|19900512
70|83|70|2|Cradle Of Love|BILLY IDOL|1990-05-05|83|2|24|19900512
71|82|71|2|The Downeaster 'Alexa'|BILLY JOEL|1990-05-05|82|57|8|19900512
72|85|72|3|This & That|MICHAEL PENN|1990-04-28|90|53|8|19900512
73|75|73|4|Pictures Of You|CURE|1990-04-21|94|71|8|19900512
74|76|74|3|Club At The End Of The Street|ELTON JOHN|1990-04-28|86|28|16|19900512
75|46|37|9|A Little Love|COREY HART|1990-03-17|86|37|11|19900512
76|63|11|14|All My Life|LINDA RONSTADT|1990-02-10|47|11|15|19900512
77|68|66|5|Heaven Is A 4 Letter Word|BAD ENGLISH|1990-04-14|80|66|9|19900512
78|84|78|2|'B' Girls|YOUNG AND RESTLESS|1990-05-05|84|54|15|19900512
79|72|69|5|Spin That Wheel|HI-TEK 3|1990-04-14|92|69|7|19900512
80|67|46|8|Hurting Kind (I've Got My Eyes On You)|ROBERT PLANT|1990-03-24|88|46|10|19900512
81|NEW|81|1|The Power|SNAP|1990-05-12|81|2|22|19900512
82|77|77|4|Drag My Bad Name Down|4 OF US|1990-04-21|92|77|5|19900512
83|87|83|3|Try To Find Me|GORKY PARK|1990-04-28|92|81|6|19900512
84|NEW|84|1|Bad Of The Heart|GEORGE LAMOND|1990-05-12|84|25|17|19900512
85|78|55|10|The Way It Is|TESLA|1990-03-10|86|55|12|19900512
86|NEW|86|1|Shake|ANDREW RIDGELEY|1990-05-12|86|77|6|19900512
87|NEW|87|1|When I Dream Of You|TOMMY PAGE|1990-05-12|87|42|10|19900512
88|NEW|88|1|Mentirosa|MELLOW MAN ACE|1990-05-12|88|14|24|19900512
89|91|46|11|Lambada|KAOMA|1990-03-03|71|46|12|19900512
90|79|76|5|Dub Be Good To Me|BEATS INTERNATIONAL|1990-04-14|95|76|5|19900512
91|74|67|7|How 'Bout Us|GRAYSON HUGH & BETTY WRIGHT|1990-03-31|89|67|7|19900512
92|73|1|22|Opposites Attract|PAULA ABDUL|1989-12-16|72|1|23|19900512
93|89|89|3|Only My Heart Talkin'|ALICE COOPER|1990-04-28|91|89|3|19900512
94|95|94|2|Counting The Days|JOEY KID|1990-05-05|95|70|12|19900512
95|NEW|95|1|Jealous Again|BLACK CROWES|1990-05-12|95|75|9|19900512
96|NEW|96|1|When Something Is Wrong With My Baby|LINDA RONSTADT & AARON NEVILLE|1990-05-12|96|78|6|19900512
97|94|94|2|Blues Before And After|SMITHEREENS|1990-05-05|94|94|2|19900512
98|92|73|10|Hide And Seek|PAJAMA PARTY|1990-03-10|93|73|10|19900512
99|71|1|17|Escapade|JANET JACKSON|1990-01-20|37|1|17|19900512
100|66|20|14|Heart Of Stone|CHER|1990-02-10|92|20|14|19900512
1|1|1|8|Nothing Compares 2 U|SINEAD O'CONNOR|1990-03-17|63|1|21|19900505
2|3|2|13|I Wanna Be Rich|CALLOWAY|1990-02-10|93|2|23|19900505
3|5|3|10|How Can We Be Lovers|MICHAEL BOLTON|1990-03-03|68|3|18|19900505
4|12|4|4|Vogue|MADONNA|1990-04-14|39|1|24|19900505
5|10|5|6|All I Wanna Do Is Make Love To You|HEART|1990-03-31|57|2|20|19900505
