Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,,
1|1|1|15|Independent Women Part I|DESTINY'S CHILD|2000-09-23|78|1|28|20001230,,,,,,
2|5|2|14|He Loves You Not|DREAM|2000-09-30|99|2|28|20001230,,,,,,
"3|2|2|9|It Wasn't Me|SHAGGY featuring RICARDO ""RIKROK"" DUCENT|2000-11-04|57|1|25|20001230",,,,,,
4|3|2|20|Case Of The Ex (Whatcha Gonna Do)|MYA|2000-08-19|72|2|30|20001230,,,,,,
5|4|1|34|With Arms Wide Open|CREED|2000-05-13|84|1|47|20001230,,,,,,
6|6|6|8|Ms. Jackson|OUTKAST|2000-11-11|55|1|23|20001230,,,,,,
7|8|7|15|The Way You Love Me|FAITH HILL|2000-09-23|46|6|36|20001230,,,,,,
8|11|8|11|If You're Gone|MATCHBOX TWENTY|2000-10-21|52|5|42|20001230,,,,,,
9|9|3|39|Kryptonite|3 DOORS DOWN|2000-04-08|81|3|53|20001230,,,,,,
10|12|10|23|Dance With Me|DEBELAH MORGAN|2000-07-29|91|8|29|20001230,,,,,,
11|13|11|10|I Just Wanna Love You (Give It 2 Me)|JAY-Z|2000-10-28|58|11|21|20001230,,,,,,
12|10|5|14|This I Promise You|'N SYNC|2000-09-30|68|5|26|20001230,,,,,,
13|7|4|17|Gotta Tell You|SAMANTHA MUMBA|2000-09-09|85|4|22|20001230,,,,,,
14|14|4|21|Most Girls|PINK|2000-08-12|85|4|27|20001230,,,,,,
15|15|15|14|I Wish|R KELLY|2000-09-30|71|14|22|20001230,,,,,,
16|19|16|7|Again|LENNY KRAVITZ|2000-11-18|72|4|32|20001230,,,,,,
17|21|17|2|Liquid Dreams|O-TOWN|2000-12-23|21|10|12|20001230,,,,,,
18|16|16|13|E.I.|NELLY|2000-10-07|71|15|20|20001230,,,,,,
19|17|9|12|Shape Of My Heart|BACKSTREET BOYS|2000-10-14|39|9|20|20001230,,,,,,
