Pos.This.Week|Pos.Last.Week|Peak.Pos.This.Week|Total.Weeks|Title|Artist|Entry.Date|Pos.Entry|Overall.Peak.Pos|Overall.Total.Weeks|Chart.Date,,,,,,
100|100|92|6|Nastradamus|NAS|1999-11-27|94|92|6|20000101,,,,,,
1|1|1|22|Smooth|SANTANA featuring ROB THOMAS|1999-07-31|78|1|58|19991225,,,,,,
2|2|2|18|Back At One|BRIAN McKNIGHT|1999-08-28|75|2|37|19991225,,,,,,
3|3|3|11|I Wanna Love You Forever|JESSICA SIMPSON|1999-10-16|69|3|20|19991225,,,,,,
4|4|4|10|I Knew I Loved You|SAVAGE GARDEN|1999-10-23|71|1|33|19991225,,,,,,
5|5|5|17|My Love Is Your Love|WHITNEY HOUSTON|1999-09-04|81|4|28|19991225,,,,,,
6|6|3|16|I Need To Know|MARC ANTHONY|1999-09-11|77|3|40|19991225,,,,,,
7|9|7|5|Hot Boyz|MISSY  ELLIOTT & NAS & EVE|1999-11-27|36|5|21|19991225,,,,,,
8|7|7|14|U Know What's Up|DONELL JONES|1999-09-25|88|7|24|19991225,,,,,,
9|11|9|8|Bring It All To Me|BLAQUE|1999-11-06|50|5|27|19991225,,,,,,
10|10|10|4|24/7|KEVON EDMONDS|1999-12-04|22|10|16|19991225,,,,,,
11|14|10|5|Girl On TV|LFO|1999-11-27|16|10|16|19991225,,,,,,
12|8|8|11|Waiting For Tonight|JENNIFER LOPEZ|1999-10-16|56|8|20|19991225,,,,,,
13|18|13|3|What A Girl Wants|CHRISTINA AGUILERA|1999-12-11|28|1|22|19991225,,,,,,
14|16|14|6|Then The Morning Comes|SMASH MOUTH|1999-11-20|46|11|23|19991225,,,,,,
15|12|9|20|Steal My Sunshine|LEN|1999-08-14|71|9|25|19991225,,,,,,
16|29|16|2|Blue (Da Ba Dee)|EIFFEL 65|1999-12-18|29|6|19|19991225,,,,,,
17|32|17|2|He Can't Love U|JAGGED EDGE|1999-12-18|32|15|19|19991225,,,,,,
18|13|3|18|Mambo No. 5 (A Little Bit Of ...)|LOU BEGA|1999-08-28|63|3|22|19991225,,,,,,
19|17|4|35|Where My Girls At?|702|1999-05-01|90|4|42|19991225,,,,,,
20|15|1|27|Unpretty|TLC|1999-06-26|76|1|32|19991225,,,,,,
21|22|21|8|Meet Virginia|TRAIN|1999-11-06|48|20|23|19991225,,,,,,
22|25|22|5|Learn To Fly|FOO FIGHTERS|1999-11-27|42|19|15|19991225,,,,,,
23|21|21|5|4,5, 6|SOLE featuring JT MONEY & KANDI|1999-11-27|47|21|12|19991225,,,,
24|38|24|3|Get It On Tonite|MONTELL JORDAN|1999-12-11|43|4|25|19991225,,,,,,
25|24|19|25|Back That Thang Up|JUVENILE feat. MANNY FRESH & LIL' WAYNE|1999-07-10|78|19|30|19991225,,,,,,
26|26|26|6|Big Deal|LeANN RIMES|1999-11-20|48|23|15|19991225,,,,,,
27|20|13|19|Get Gone|IDEAL|1999-08-21|86|13|22|19991225,,,,,,
28|28|28|4|Breathe|FAITH HILL|1999-12-04|42|2|49|19991225,,,,,,
29|46|29|2|Dancin'|GUY|1999-12-18|46|19|11|19991225,,,,,,
30|34|30|4|That's The Way It Is|CELINE DION|1999-12-04|49|6|25|19991225,,,,,,
31|30|30|5|He Didn't Have To Be|BRAD PAISLEY|1999-11-27|46|30|15|19991225,,,,,,
32|19|2|14|Satisfy You|PUFF DADDY featuring R KELLY|1999-09-25|74|2|20|19991225,,,,,,
33|37|33|4|Got Your Money|OL' DIRTY BASTARD featuring KELIS|1999-12-04|48|33|14|19991225,,,,,,
34|23|7|26|Someday|SUGAR RAY|1999-07-03|66|7|32|19991225,,,,,,
35|35|35|4|Hangingaround|COUNTING CROWS|1999-12-04|46|28|16|19991225,,,,,,
36|40|31|12|Stay The Night|IMX|1999-10-09|84|23|20|19991225,,,,,,
37|33|16|25|Black Balloon|GOO GOO DOLLS|1999-07-10|66|16|34|19991225,,,,,,
38|NEW|38|1|Take A Picture|FILTER|1999-12-25|38|12|16|19991225,,,,,,
39|39|39|3|Shake Your Bon-Bon|RICKY MARTIN|1999-12-11|39|22|15|19991225,,,,,,
40|42|30|7|If You Love Me|MINT CONDITION|1999-11-13|43|30|19|19991225,,,,,,
41|31|31|7|When I Said I Do|CLINT BLACK|1999-11-13|50|31|16|19991225,,,,,,
42|50|42|2|You Can Do It|ICE CUBE featuring MACK 10 & MS. TOI|1999-12-18|50|35|10|19991225,,,,,,
43|27|27|6|15 Minutes|MARC NELSON|1999-11-20|41|27|9|19991225,,,,,,
44|NEW|44|1|Don't Say You Love Me|M2M|1999-12-25|44|21|7|19991225,,,,,,
45|NEW|45|1|Amazed|LONESTAR|1999-12-25|45|1|35|19991225,,,,,,
46|NEW|46|1|What Do You Say|REBA|1999-12-25|46|46|3|19991225,,,,,,
47|NEW|47|1|The Christmas Song (Chestnuts Roasting On An Open Fire)|CHRISTINA AGUILERA|1999-12-25|47|18|3|19991225,,,,,,
48|48|48|2|Got To Get It|SISQO featuring MAKE IT HOT|1999-12-18|48|40|16|19991225,,,,,,
49|44|14|28|She's So High|TAL BACHMAN|1999-06-19|78|14|28|19991225,,,,,,
50|NEW|50|1|Thank God I Found You|MARIAH CAREY featuring JOE & 98 DEGREES|1999-12-25|50|1|18|19991225,,,,,,
51|41|1|17|Heartbreaker|MARIAH CAREY featuring JAY-Z|1999-09-04|60|1|20|19991225,,,,,,
52|61|52|5|Cowboy Take Me Away|DIXIE CHICKS|1999-11-27|79|48|7|19991225,,,,,,
53|36|10|15|(You Drive Me) Crazy|BRITNEY SPEARS|1999-09-18|62|10|20|19991225,,,,,,
54|64|54|5|My Best Friend|TIM McGRAW|1999-11-27|85|50|7|19991225,,,,,,
55|57|55|7|Pop A Top|ALAN JACKSON|1999-11-13|79|43|16|19991225,,,,,,
56|62|56|6|Angels|ROBBIE WILLIAMS|1999-11-20|85|53|19|19991225,,,,,,
57|55|55|15|All Things Considered|YANKEE GREY|1999-09-18|98|55|20|19991225,,,,,,
58|43|25|8|Will 2K|WILL SMITH featuring K-CI|1999-11-06|47|25|12|19991225,,,,,,
59|69|59|4|All The Small Things|BLINK 182|1999-12-04|89|51|6|19991225,,,,,,
