,date,url,venue,artist,location,time
0,2017-02-02,https://www.songkick.com/metro_areas/7644-us-new-york,Knitting Factory,Don Giovanni Records Showcase 2017,new-york,N/A
1,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Madison Square Garden,The Lumineers,new-york,N/A
2,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Terminal 5,AFI,new-york,19:00:00-0500
3,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Webster Hall,Keys N Krates (DJ set),new-york,22:00:00-0500
4,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Music Hall of Williamsburg,Bear's Den,new-york,20:00:00-0500
5,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Hollywood Palladium,"Juicy J, Project Pat, and Belly (CAN)",los-angeles,18:30:00-0800
6,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Portage Theater,Riff Raff,chicago,19:00:00-0600
7,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Billy Bob's Texas,Ryan Bingham,dallas-fort-worth,18:00:00-0600
8,2017-01-28,https://www.songkick.com/metro_areas/15073-us-houston,Discovery Green,Super Bowl LIVE at Discovery Green 2017,houston,N/A
9,2017-02-04,https://www.songkick.com/metro_areas/1409-us-washington,The Theater at Mgm National Harbor,"Warren Haynes, Michael McDonald, Jamey Johnson, John Medeski, Don Was, and Terence Higgins",washington,N/A
10,2017-02-04,https://www.songkick.com/metro_areas/5202-us-philadelphia,Union Transfer,Isaiah Rashad,philadelphia,21:00:00-0500
11,2017-02-04,https://www.songkick.com/metro_areas/4120-us-atlanta,Cox Capitol Theatre,Corey Smith,atlanta,N/A
12,2017-02-04,https://www.songkick.com/metro_areas/9776-us-miami,"Maurice Gusman Concert Hall, University of Miami",Bruce Hornsby,miami,N/A
13,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Marquee,Dash Berlin,new-york,N/A
14,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,City Winery,Josh Ritter,new-york,19:00:00-0500
15,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,NYCB Theatre at Westbury,"Warren Haynes, Michael McDonald, Jamey Johnson, John Medeski, Don Was, and Terence Higgins",new-york,N/A
16,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,The Bowery Ballroom,Delicate Steve,new-york,21:00:00-0500
17,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Rough Trade NYC,The Chain Gang of 1974,new-york,20:00:00-0500
18,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Sunnyvale - Brooklyn,Woods,new-york,20:00:00-0500
19,2017-02-03,https://www.songkick.com/metro_areas/7644-us-new-york,Output,"DJ Tennis, Axel Boman, Red Axes, and Joakim",new-york,22:00:00-0500
20,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Heat Ultra Lounge,Trey Songz,los-angeles,21:00:00-0800
21,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Fox Theater,Rebelution,los-angeles,N/A
22,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,The Wiltern,"Dashboard Confessional, Vinyl Theatre, and This Wild Life",los-angeles,19:00:00-0800
23,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Teragram Ballroom,Ty Segall,los-angeles,21:00:00-0800
24,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,Create Nightclub,Armin van Buuren,los-angeles,22:00:00-0800
25,2017-02-04,https://www.songkick.com/metro_areas/17835-us-los-angeles,The Novo by Microsoft,DVBBS,los-angeles,20:00:00-0800
26,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Civic Opera House,The Handsome Family,chicago,N/A
27,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Lincoln Hall,Cate Le Bon,chicago,N/A
28,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Smartbar,Matthew Dear,chicago,N/A
29,2017-02-04,https://www.songkick.com/metro_areas/9426-us-chicago,Primary Night Club,Mark Farina and Gene Farris,chicago,22:00:00-0600
30,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Club Dada,Cold Cave,dallas-fort-worth,21:00:00-0600
31,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Curtain Club,July Talk,dallas-fort-worth,21:00:00-0600
32,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Majestic Theatre,Gabriel Iglesias,dallas-fort-worth,18:30:00-0600
33,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Sundown at Granada,Jeffrey Foucault,dallas-fort-worth,22:30:00-0600
34,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Gas Monkey Bar N Grill,The Legendary Shack Shakers,dallas-fort-worth,20:00:00-0600
35,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Kessler Theater,Terry Allen,dallas-fort-worth,19:00:00-0600
36,2017-02-04,https://www.songkick.com/metro_areas/35129-us-dallas-fort-worth,Trees,Geoff Tate,dallas-fort-worth,20:00:00-0600
37,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Clé,Skrillex,houston,22:00:00-0600
38,2017-02-04,https://www.songkick.com/metro_areas/15073-us-houston,Spire,Flo Rida,houston,22:00:00-0600
