date,url,venue,artist
"<time datetime=""2017-02-04T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Black Cat,Chad Valley and Computer Magic
"<time datetime=""2017-02-04T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,9:30 Club,Greensky Bluegrass
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,The Hamilton Live,Anthony B
"<time datetime=""2017-02-04T18:30:00-0500""></time>",https://www.songkick.com/metro_areas/1409-us-washington,Jammin' Java,Charlie Hunter
"<time datetime=""2017-02-04T20:30:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Electric Factory,Alter Bridge and Nonpoint
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Sands Bethlehem Event Center,DNCE and The Skins
"<time datetime=""2017-02-04T22:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Haven Nightclub,Yellow Claw
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Fillmore Philadelphia,The Disco Biscuits
"<time datetime=""2017-02-04T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,The Dolphin Tavern,The Juan Maclean and Dave P
"<time datetime=""2017-02-04T19:30:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,First Unitarian Church,Screaming Females
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/5202-us-philadelphia,Theater of the Living Arts,Maren Morris and Ryan Hurd
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,The Earl,Margaret Glaspy
"<time datetime=""2017-02-04T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,The Masquerade - Purgatory,"Code Orange, Youth Code, and Nicole Dollanganger"
"<time datetime=""2017-02-04T20:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Variety Playhouse,Tinsley Ellis
"<time datetime=""2017-02-04T21:30:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Eddie's Attic,Stop Light Observations
"<time datetime=""2017-02-04T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Eddie's Attic,John Berry
"<time datetime=""2017-02-04T21:00:00-0500""></time>",https://www.songkick.com/metro_areas/4120-us-atlanta,Venkman's,The Whiskey Gentry
"<time datetime=""2017-02-04T11:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,"LIV Nightclub, Fontainebleau",Erick Morillo
"<time datetime=""2017-02-04T23:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,Space,Pan-Pot
"<time datetime=""2017-02-04T23:00:00-0500""></time>",https://www.songkick.com/metro_areas/9776-us-miami,Heart Nightclub,Damian Lazarus
"<time datetime=""2017-02-04T22:00:00-0500""></time>",https://www.songkick.com/metro_areas/18842-us-boston-cambridge,Royale,"Buck Rogers, To Be Announced, and Marshmello"
"<time datetime=""2017-02-03T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Goldsounds,Truckfighters
"<time datetime=""2017-02-03""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,Terminal 5,Nothing
"<time datetime=""2017-02-03T19:00:00-0500""></time>",https://www.songkick.com/metro_areas/7644-us-new-york,United Palace Theatre,Antony Santos and Fernando Villalona
"<time datetime=""2017-02-04""></time>",https://www.songkick.com/metro_areas/11104-us-nashville,"Andrew Jackson Hall, Tennessee Performing Arts Center",Nelly
