ground_strikes_landed,strikes_avoided_pct,attempted_strikes,weight,passes,hometown,age,reach,leg_reach,fighter_name,submissions,takedowns_defended_pct,successful_takedowns,attempted_takedowns,sweeps,fight_out_of,height,standing_strikes_landed,fight_record,other_strikes_landed
4,37,86,155 lb ( 70 kg ),1,Toulouse France,29,"72""","41""",thibault-gouti,0,63,0,0,1,Avignon France,"5' 10"" ( 177 cm )",18,11-3-0,11
None,55,207,135 lb ( 61 kg ),0,"Fairfax, Virginia United States",30,"73""","40""",joey-Gomez,0,50,1,1,0,"Brookline, New Hampshire United States","5' 10"" ( 177 cm )",12,6-2-0,None
46,63,409,135 lb ( 61 kg ),4,"Sturgeon Falls, Ontario Canada",32,"65""","36""",mitch-Gagnon,8,68,6,23,1,"Sudbury, Ontario Canada","5' 5"" ( 165 cm )",117,12-4-0,37
,,,198 lb ( 89 kg ),,USA,None,None,None,darrel-Gholar,,,,,,None,"5' 8"" ( 172 cm )",,None,
46,55,708,155 lb ( 70 kg ),9,Fortaleza Brazil,42,None,None,hermes-Franca,25,38,16,44,5,None,"5' 6"" ( 167 cm )",195,None,39
None,38,19,250 lb ( 113 kg ),0,Arendal Norway,42,None,None,dan-Evensen,2,N/A		,0,1,0,None,"6' 3"" ( 190 cm )",None,None,None
50,57,373,170 lb ( 77 kg ),4,"Tucson, Arizona USA",37,None,None,drew-Fickett,8,31,6,16,1,None,"5' 10"" ( 177 cm )",57,None,48
48,58,344,135 lb ( 61 kg ),4,"Ukiah, California USA",29,"67""","39""",ashlee-evans-smith,0,33,4,9,0,"Laguna Hills, California USA","5' 8"" ( 172 cm )",56,5-1-0,35
,,,145 lb ( 65 kg ),,South Shields England,29,"73""",None,alex-enlund,,,,,,South Shields England,"5' 10"" ( 177 cm )",,"14-2-0, 1NC",
None,N/A					,5,205 lb ( 93 kg ),1,"Provo, UT USA",35,None,None,robert-drysdale,3,N/A		,1,1,0,"Las Vegas, NV USA","6' 3"" ( 190 cm )",None,None,None
,,,None,,None,None,None,None,drew-Dimanlig,,,,,,None,None,,None,
,,,None,,None,None,None,None,royden-Demotta,,,,,,None,None,,None,
,,,None,,USA,None,None,None,sean-Daughtery,,,,,,None,None,,None,
129,48,1247,170 lb ( 77 kg ),18,"Rimouski, Quebec Canada",36,"71""","41""",patrick-Cote,4,44,10,50,4,"Montreal, Quebec Canada","5' 11"" ( 180 cm )",367,24-10-0,122
,,,None,,None,None,None,None,miguel-Cosio,,,,,,None,None,,None,
