Ratings,Style,Name,Bros,ABV,Avg,Brewery
,,,,,,
,,,,,,
,,,,,,Brewery
"14,066",,Two Hearted Ale,90,7.00,4.26,"Bell's Brewery, Inc."
"13,652",,Sculpin IPA,-,7.00,4.37,Ballast Point Brewing Company
"11,199",,60 Minute IPA,92,6.00,4.06,Dogfish Head Craft Brewery
"10,881",,Stone IPA (India Pale Ale),99,6.90,4.23,Stone Brewing
"10,828",,Sierra Nevada Torpedo Extra IPA,99,7.20,4.11,Sierra Nevada Brewing Co.
"10,191",,Sierra Nevada Celebration Ale,97,6.80,4.15,Sierra Nevada Brewing Co.
"8,611",,Lagunitas IPA,-,6.20,3.86,Lagunitas Brewing Company
"8,196",,Founders Centennial IPA,99,7.20,4.11,Founders Brewing Company
"7,572",,Racer 5 India Pale Ale,94,7.50,4.19,Bear Republic Brewing Co.
"7,522",,Jai Alai IPA,100,7.50,4.2,Cigar City Brewing
"7,315",,HopDevil India Pale Ale,99,6.70,4.06,Victory Brewing Company - Downingtown
"6,907",,Founders All Day IPA,-,4.70,3.88,Founders Brewing Company
"6,523",,Union Jack India Pale Ale,100,7.50,4.23,Firestone Walker Brewing Co.
"5,922",,Ranger,87,6.50,3.83,New Belgium Brewing
"5,826",,Grapefruit Sculpin,99,7.00,4.29,Ballast Point Brewing Company
"5,703",,Blind Pig IPA,-,6.10,4.33,Russian River Brewing Company
"5,446",,Furious,-,6.60,4.3,Surly Brewing Company
"5,234",,"Smuttynose IPA ""Finest Kind""",100,6.90,4.09,Smuttynose Brewing Company
"5,218",,Flower Power India Pale Ale,-,7.50,4.17,Ithaca Beer Company
"5,082",,Sierra Nevada Ruthless Rye IPA,-,6.60,3.92,Sierra Nevada Brewing Co.
"5,072",,Lunch,94,7.00,4.33,Maine Beer Company
"4,982",,ApriHop,90,7.00,3.82,Dogfish Head Craft Brewery
"4,883",,Fresh Squeezed IPA,96,6.40,4.19,Deschutes Brewery
"4,703",,Hop Rod Rye,100,8.00,4.24,Bear Republic Brewing Co.
"4,423",,Founders Harvest Ale,97,7.60,4.21,Founders Brewing Company
"4,259",,Duet,93,7.00,4.29,Alpine Beer Company
"4,258",,Big Eye IPA,96,7.00,4.06,Ballast Point Brewing Company
"4,174",,Fat Head's Head Hunter IPA,-,7.50,4.33,Fat Head's Brewery & Saloon
"4,149",,Hop Nosh IPA,-,7.00,4,Uinta Brewing Company
"4,142",,Titan IPA,100,7.10,4.08,Great Divide Brewing Company
"4,138",,Samuel Adams Rebel IPA,-,6.50,3.63,Boston Beer Company (Samuel Adams)
"4,124",,AleSmith IPA,-,7.25,4.27,AleSmith Brewing Company
"4,043",,Nelson,-,7.00,4.38,Alpine Beer Company
"3,630",,Northern Hemisphere Harvest Wet Hop IPA,100,6.70,4.16,Sierra Nevada Brewing Co.
"3,503",,Heavy Seas Loose Cannon - American Hop3 Ale,-,7.25,4.01,Heavy Seas Beer
"3,479",,Samuel Adams Latitude 48 IPA,84,6.00,3.66,Boston Beer Company (Samuel Adams)
"3,466",,Tröegs Perpetual IPA,-,7.50,4.07,Tröegs Brewing Company
"3,455",,75 Minute IPA,-,7.50,4.09,Dogfish Head Craft Brewery
