Ratings,Style,Name,Bros,ABV,Avg,Brewery
,,,,,,
,,,,,,
,,,,,,Brewery
"6,014",,Indian Brown Ale,95,7.20,4.1,Dogfish Head Craft Brewery
"5,769",,Palo Santo Marron,-,12.00,4.16,Dogfish Head Craft Brewery
"4,137",,Hazelnut Brown Nectar,94,6.20,4.05,Rogue Ales
"3,374",,Sierra Nevada Tumbler Autumn Brown Ale,93,5.50,3.83,Sierra Nevada Brewing Co.
"2,997",,Bell's Best Brown,-,5.80,3.84,"Bell's Brewery, Inc."
"2,688",,Moose Drool Brown Ale,81,5.10,3.7,Big Sky Brewing Company
"2,655",,Smuttynose Old Brown Dog Ale,97,6.70,3.9,Smuttynose Brewing Company
"2,597",,Coffee Bender,-,5.10,4.15,Surly Brewing Company
"2,592",,Wilco Tango Foxtrot,-,7.85,3.92,Lagunitas Brewing Company
"2,343",,Brooklyn Brown Ale,78,5.60,3.68,Brooklyn Brewery
"2,109",,Ellie's Brown Ale,92,5.50,3.89,Avery Brewing Company
"1,949",,Bender,92,5.10,4.11,Surly Brewing Company
"1,434",,Koko Brown,71,5.50,3.62,Kona Brewing Co.
"1,190",,Founders Sumatra Mountain Brown,-,9.00,4.3,Founders Brewing Company
"1,049",,Pecan Harvest Ale,-,5.20,3.37,Abita Brewing Co.
973,,New Holland Cabin Fever Brown Ale,-,6.50,3.67,New Holland Brewing Company
921,,Smuttynose Durty Mud Season Hoppy Brown Ale,90,8.40,3.94,Smuttynose Brewing Company
919,,Maple Nut Brown Ale,77,4.50,3.4,Tommyknocker Brewery
915,,Samuel Adams Hazel Brown,-,5.20,3.71,Boston Beer Company (Samuel Adams)
867,,Rocky's Revenge Bourbon Brown,77,6.00,3.75,Tyranena Brewing Company
855,,Brekle's Brown,-,6.00,3.7,Anchor Brewing Company
797,,Maracaibo Especial,-,7.50,3.98,Jolly Pumpkin Artisan Ales
749,,Short's Bellaire Brown Ale,-,7.00,3.79,Short's Brewing Company
687,,George,-,6.00,4.11,Hill Farmstead Brewery
673,,Duck-Rabbit Brown Ale,94,5.60,3.73,The Duck-Rabbit Craft Brewery
641,,Dirty Little Freak,-,5.80,3.71,DuClaw Brewing Company
638,,Imperial Nut Brown Ale,91,9.00,3.71,Tommyknocker Brewery
630,,Board Meeting,-,8.50,4.14,Port Brewing
616,,Dos Perros,90,3.50,3.62,Yazoo Brewing Company
615,,Peter Brown Tribute Ale,-,6.30,3.9,Bear Republic Brewing Co.
606,,Humboldt Brown (Ale Brewed With Hemp),-,5.70,3.47,Humboldt Brewing Co.
545,,Good Humans,-,9.15,3.79,Short's Brewing Company
530,,Prairie Okie,-,12.00,4.09,Prairie Artisan Ales
522,,Flashback Ale,-,6.80,3.8,Boulder Beer / Wilderness Pub
518,,Festivity Ale,-,7.70,3.66,Goose Island Beer Co.
518,,Sweet Josie Brown Ale,88,6.10,3.77,Lonerider Brewing Company
495,,Snow Roller,-,6.20,3.48,Magic Hat Brewing Company
481,,He'Brew Messiah Nut Brown Ale,-,5.20,3.61,Shmaltz Brewing Company
478,,Cacao Bender,-,5.10,4.3,Surly Brewing Company
468,,No Crusts,-,6.00,4.15,Funky Buddha Brewery
