Ratings,Style,Name,Bros,ABV,Avg,Brewery
,,,,,,
,,,,,,
,,,,,,Brewery
"2,276",,Summer Love,-,5.20,3.78,Victory Brewing Company - Downingtown
"1,783",,Big Wave Golden Ale,83,4.40,3.55,Kona Brewing Co.
"1,466",,Twilight Summer Ale,80,5.00,3.69,Deschutes Brewery
"1,104",,Somersault,100,5.20,3.78,New Belgium Brewing
962,,Hoptober Golden Ale,83,6.00,3.83,New Belgium Brewing
936,,Shipyard Export Ale,78,5.10,3.33,Shipyard Brewing Co.
827,,805 Blonde Ale,-,4.70,3.5,Firestone Walker Brewing Co.
809,,Fireman's #4,-,5.10,3.44,Real Ale Brewing Company
747,,Eureka W/ Citra,-,4.10,4.31,Tree House Brewing Company
596,,Samurai Ale,90,5.10,3.49,Great Divide Brewing Company
587,,Bombshell Blonde,-,5.25,3.72,Southern Star Brewing Company
577,,Deschutes River Ale,90,4.00,3.77,Deschutes Brewery
573,,Farmhouse Summer Ale,86,4.60,3.46,Flying Fish Brewing Company
533,,Single Chair Golden Ale,87,5.00,3.36,Magic Hat Brewing Company
517,,Or Xata,-,7.20,3.95,The Bruery
489,,Citra Blonde Summer Brew,86,4.30,3.65,Widmer Brothers Brewing Company
477,,Walden,-,4.00,4.28,Hill Farmstead Brewery
447,,Narragansett Summer Ale,80,4.20,3.8,Narragansett Brewing Co.
445,,True Blonde Ale,63,5.30,3.37,Ska Brewing Co.
424,,Prairie Path Ale,-,5.10,3.49,Two Brothers Brewing Company
413,,Bean Flicker,-,4.50,3.74,Odd Side Ales
405,,Blue Point Summer Ale,-,4.40,3.29,Blue Point Brewing Company
390,,Aud Blonde,-,4.50,3.76,Russian River Brewing Company
367,,Gossamer Golden Ale,-,4.20,3.78,Half Acre Beer Company
357,,Baby Genius,-,4.00,4.09,Bissell Brothers Brewing Co.
349,,Sum'r Summer Ale,-,4.00,3.57,Uinta Brewing Company
346,,Heavy Seas - Gold Ale,-,4.50,3.43,Heavy Seas Beer
343,,Rogue Farms Single Malt Ale,-,5.30,3.64,Rogue Ales
340,,Preservation Series: Or Xata,-,7.00,3.87,The Bruery
322,,Summer Honey Ale,-,4.70,3.38,Big Sky Brewing Company
320,,Redhook Blonde,79,5.30,3.3,Redhook Ale Brewery
302,,Ballantine XXX Ale,79,4.85,3.1,Pabst Brewing Company
301,,Chocolate Chip Cookie Dough Ale (Ben & Jerry's Collaboration),88,6.00,3.55,New Belgium Brewing
290,,Dallas Blonde,-,5.20,3.54,Deep Ellum Brewing Company
286,,Molson Export,78,5.00,3.03,Molson Coors Canada
250,,Lonely Blonde,85,4.80,3.44,Fulton Beer
249,,Naughty Nellie,85,4.70,3.54,The Pike Brewing Company
248,,Beach Bum Blonde Ale,-,5.40,2.99,Anheuser-Busch
247,,Thomas Hooker Blonde Ale,78,4.60,3.49,Thomas Hooker Brewing Company
241,,River Horse Summer Blonde,-,4.50,3.26,River Horse Brewing Co.
240,,Bare Ass Blonde Ale,-,5.00,3.46,DuClaw Brewing Company
240,,Eureka W/ Nelson,-,4.10,4.23,Tree House Brewing Company
231,,Eureka W/ Galaxy,-,4.10,4.2,Tree House Brewing Company
