Ratings,Style,Name,Bros,ABV,Avg,Brewery
,,,,,,
,,,,,,
,,,,,,Brewery
"11,125",,Sierra Nevada Pale Ale,91,5.60,4.05,Sierra Nevada Brewing Co.
"9,893",,Zombie Dust,-,6.20,4.53,3 Floyds Brewing Co.
"7,228",,Dale's Pale Ale,81,6.50,3.93,Oskar Blues Grill & Brew
"6,379",,Alpha King,94,6.66,4.26,3 Floyds Brewing Co.
"4,094",,PseudoSue,95,5.80,4.49,Toppling Goliath Brewing Company
"3,715",,Mirror Pond Pale Ale,96,5.00,3.92,Deschutes Brewery
"3,619",,Daisy Cutter Pale Ale,94,5.20,4.17,Half Acre Beer Company
"3,537",,Sweetwater 420 Extra Pale Ale,80,5.40,3.64,SweetWater Brewing Company
"3,196",,Great Lakes Burning River Pale Ale,93,6.00,3.99,Great Lakes Brewing Co.
"3,131",,MO,-,6.00,4.27,Maine Beer Company
"2,794",,Peeper Ale,94,5.50,4.09,Maine Beer Company
"2,728",,Founders Pale Ale,-,5.40,3.7,Founders Brewing Company
"2,587",,Headwaters Pale Ale,90,5.20,3.92,Victory Brewing Company - Downingtown
"2,581",,Edward,-,5.20,4.4,Hill Farmstead Brewery
"2,533",,Red Chair NWPA,96,6.20,4.1,Deschutes Brewery
"2,518",,Moon Man No Coast Pale Ale,90,5.00,4.11,New Glarus Brewing Company
"2,380",,Doggie Style Classic Pale Ale,85,5.50,3.64,Flying Dog Brewery
"2,335",,Fire Rock Pale Ale,90,6.00,3.62,Kona Brewing Co.
"2,246",,Born Yesterday Pale Ale,90,7.00,4.42,Lagunitas Brewing Company
"2,195",,Pride & Joy Mild Ale,-,5.00,3.94,3 Floyds Brewing Co.
"2,043",,Hazed Hoppy Session Ale,79,5.00,3.72,Boulder Beer / Wilderness Pub
"2,038",,Founders Mosaic Promise,-,5.50,4.05,Founders Brewing Company
"1,910",,Pale 31,-,4.90,3.86,Firestone Walker Brewing Co.
"1,868",,New Dogtown Pale Ale,-,6.20,3.99,Lagunitas Brewing Company
"1,808",,Terrapin Rye Pale Ale,81,5.30,3.83,Terrapin Beer Company
"1,803",,Fort Point Pale Ale,92,6.60,4.48,Trillium Brewing Company
"1,583",,Fresh Hop Pale Ale,93,6.10,4.08,Great Divide Brewing Company
"1,560",,YumYum,91,5.50,3.99,3 Floyds Brewing Co.
"1,505",,Live,83,5.50,3.92,Southern Tier Brewing Company
"1,497",,Space Station: Middle Finger,-,6.00,4.16,3 Floyds Brewing Co.
"1,492",,Invasion Pale Ale,-,5.00,3.94,Cigar City Brewing
"1,488",,Phin & Matt's Extraordinary Ale,79,5.20,3.57,Southern Tier Brewing Company
"1,444",,Galaxy Dry Hopped Fort Point Pale Ale,91,6.60,4.54,Trillium Brewing Company
"1,393",,CitruSinensis (OneHitter Series),87,7.90,4.05,Lagunitas Brewing Company
"1,316",,Grunion Pale Ale,-,5.50,4.08,Ballast Point Brewing Company
"1,296",,Hop Trip (Bond Street Series),98,5.90,4.11,Deschutes Brewery
"1,236",,Boat Beer,95,4.20,4.08,Carton Brewing Company
"1,224",,Row 2/Hill 56,-,5.80,4.33,Russian River Brewing Company
