Ratings,Style,Name,Bros,ABV,Avg,Brewery
,,,,,,
,,,,,,
,,,,,,Brewery
"15,368",,90 Minute IPA,96,9.00,4.24,Dogfish Head Craft Brewery
"14,207",,Pliny The Elder,100,8.00,4.6,Russian River Brewing Company
"13,059",,Heady Topper,96,8.00,4.65,The Alchemist
"12,837",,Hopslam Ale,94,10.00,4.43,"Bell's Brewery, Inc."
"10,558",,Stone Enjoy By IPA,98,9.40,4.39,Stone Brewing
"10,183",,Lagunitas Sucks (Brown Shugga Substitute Ale),89,7.85,4.31,Lagunitas Brewing Company
"8,050",,120 Minute IPA,-,18.00,3.97,Dogfish Head Craft Brewery
"7,830",,West Coast IPA,100,8.10,4.19,Green Flash Brewing Co.
"7,548",,Double Jack,-,9.50,4.28,Firestone Walker Brewing Co.
"7,538",,Hop Stoopid,-,8.00,4.18,Lagunitas Brewing Company
"6,546",,DirtWolf,-,8.70,4.27,Victory Brewing Company - Downingtown
"6,512",,Burton Baton,91,10.00,4.18,Dogfish Head Craft Brewery
"6,418",,Founders Double Trouble,-,9.40,4.19,Founders Brewing Company
"6,251",,Sierra Nevada Hoptimum Imperial IPA,94,10.40,4.11,Sierra Nevada Brewing Co.
"5,953",,Dreadnaught IPA,93,9.50,4.4,3 Floyds Brewing Co.
"5,800",,Stone RuinTen Triple IPA,87,10.80,4.3,Stone Brewing
"5,538",,Maharaja,95,10.20,4.2,Avery Brewing Company
"5,452",,Maximus,90,8.20,3.95,Lagunitas Brewing Company
"5,022",,Founders Devil Dancer,84,12.00,3.93,Founders Brewing Company
"4,649",,Resin,91,9.10,4.07,Sixpoint Brewery
"4,507",,2XIPA,-,8.20,4,Southern Tier Brewing Company
"4,497",,Abrasive Ale,-,9.00,4.46,Surly Brewing Company
"4,390",,Sip Of Sunshine,-,8.00,4.56,Lawson's Finest Liquids
"4,136",,Hercules Double IPA,99,10.00,4.13,Great Divide Brewing Company
"4,038",,Palate Wrecker,-,9.50,4.14,Green Flash Brewing Co.
"3,885",,G'Knight Imperial Red Ale,90,8.70,4.1,Oskar Blues Grill & Brew
"3,618",,Pure Hoppiness,96,8.00,4.31,Alpine Beer Company
"3,541",,Arctic Panzer Wolf,-,9.00,4.18,3 Floyds Brewing Co.
"3,260",,Chillwave Double IPA,90,9.00,4.23,Great Lakes Brewing Co.
"3,055",,Unearthly (Imperial India Pale Ale),-,9.50,4.07,Southern Tier Brewing Company
"2,999",,Pliny The Younger,-,10.25,4.67,Russian River Brewing Company
"2,943",,GUBNA Imperial IPA,-,10.00,3.77,Oskar Blues Grill & Brew
"2,886",,Rampant Imperial IPA,-,8.50,3.78,New Belgium Brewing
"2,875",,Dorado Double IPA,94,10.00,4.11,Ballast Point Brewing Company
"2,862",,G-Bot Double IPA,-,8.80,4.29,New England Brewing Co.
"2,836",,A Little Sumpin' Extra! Ale,-,8.50,4.19,Lagunitas Brewing Company
"2,809",,Myrcenary Double IPA,94,9.30,4.26,Odell Brewing Company
"2,802",,Dark Horse Double Crooked Tree IPA,93,12.00,4.12,Dark Horse Brewing Company
"2,798",,Permanent Funeral,-,10.50,4.46,3 Floyds Brewing Co.
