Ratings,Style,Name,Bros,ABV,Avg,Brewery
,,,,,,
,,,,,,
,,,,,,Brewery
"7,238",,Founders Porter,94,6.50,4.24,Founders Brewing Company
"6,776",,Victory At Sea Coffee Vanilla Imperial Porter,-,10.00,4.35,Ballast Point Brewing Company
"6,407",,Great Lakes Edmund Fitzgerald Porter,95,6.00,4.26,Great Lakes Brewing Co.
"6,007",,Black Butte Porter,100,5.20,4.15,Deschutes Brewery
"4,125",,Vanilla Porter,85,5.40,3.55,Breckenridge Brewery
"3,655",,Anchor Porter,98,5.60,4.1,Anchor Brewing Company
"3,608",,Sierra Nevada Porter,88,5.60,3.92,Sierra Nevada Brewing Co.
"2,870",,Bell's Porter,87,5.60,3.88,"Bell's Brewery, Inc."
"2,866",,Mocha Porter,92,5.30,3.88,Rogue Ales
"2,683",,Smuttynose Robust Porter,97,6.20,4.14,Smuttynose Brewing Company
"2,576",,Everett Porter,-,7.50,4.47,Hill Farmstead Brewery
"2,498",,Sweet Baby Jesus,70,6.50,3.75,DuClaw Brewing Company
"2,456",,Samuel Adams Holiday Porter,89,5.80,3.74,Boston Beer Company (Samuel Adams)
"2,246",,Coconut Hiwa Porter,84,6.00,3.99,Maui Brewing Co.
"2,211",,Alpha Klaus Christmas (Xmas) Porter,-,6.00,4.15,3 Floyds Brewing Co.
"1,988",,Alaskan Smoked Porter,92,6.50,4.18,Alaskan Brewing Co.
"1,878",,Pipeline Porter,89,5.40,3.81,Kona Brewing Co.
"1,815",,Shake Chocolate Porter,-,5.90,4.01,Boulder Beer / Wilderness Pub
"1,759",,Atwater Vanilla Java Porter,-,4.80,3.27,Atwater Brewery
"1,757",,Leinenkugel's Snowdrift Vanilla Porter,-,6.00,3.38,Jacob Leinenkugel Brewing Company
"1,744",,Maple Bacon Coffee Porter,-,6.40,4.45,Funky Buddha Brewery
"1,725",,Last Snow,-,6.40,4.45,Funky Buddha Brewery
"1,527",,Imperial Doughnut Break,-,11.50,4.21,Evil Twin Brewing
"1,517",,Terrapin Liquid Bliss,73,6.10,3.8,Terrapin Beer Company
"1,425",,King Titus,-,7.50,4.14,Maine Beer Company
"1,345",,Highland Oatmeal Porter,91,5.80,3.86,Highland Brewing
"1,277",,Evil Twin Lil' B,-,11.50,4.19,Evil Twin Brewing
"1,216",,Odell Cutthroat Porter,98,5.10,4.08,Odell Brewing Company
"1,213",,Tröegs Dead Reckoning Porter,-,5.80,3.83,Tröegs Brewing Company
"1,168",,Birth Of Tragedy,-,9.00,4.39,Hill Farmstead Brewery
"1,085",,Twilight Of The Idols,-,7.50,4.29,Hill Farmstead Brewery
"1,057",,Eugene,-,6.80,4.03,Revolution Brewing
"1,051",,Coffeehouse Porter,90,6.20,4.06,Berkshire Brewing Company Inc.
"1,036",,Yuengling Dark Brewed Porter,78,4.70,3.36,Yuengling Brewery
"1,029",,New World Porter,-,6.70,3.88,Avery Brewing Company
"1,024",,No Rules,-,15.00,4.45,Perrin Brewery
"1,009",,Black Marlin Porter,96,6.00,3.97,Ballast Point Brewing Company
987,,Porter,84,5.50,3.68,Southern Tier Brewing Company
970,,José Martí American Porter,-,8.00,4.05,Cigar City Brewing
