Ratings,Style,Name,Bros,ABV,Avg,Brewery
,,,,,,
,,,,,,
,,,,,,Brewery
"8,514",,Fat Tire Amber Ale,82,5.20,3.6,New Belgium Brewing
"8,463",,Tröegs Nugget Nectar,-,7.50,4.33,Tröegs Brewing Company
"3,400",,Green Flash Hop Head Red Ale,90,8.10,4,Green Flash Brewing Co.
"3,066",,Tröegs Hopback Amber Ale,-,6.00,4.02,Tröegs Brewing Company
"3,045",,Bell's Amber Ale,97,5.80,3.85,"Bell's Brewery, Inc."
"2,854",,Flipside Red IPA,-,6.20,3.84,Sierra Nevada Brewing Co.
"2,711",,Censored,-,6.75,3.76,Lagunitas Brewing Company
"2,601",,Lagunitas Lucky 13 Mondo Large Red Ale,94,8.80,4.1,Lagunitas Brewing Company
"2,598",,Great Lakes Nosferatu,90,8.00,4.07,Great Lakes Brewing Co.
"2,596",,Red Rocket Ale,96,6.80,4.06,Bear Republic Brewing Co.
"2,446",,Zoe,-,7.20,4.19,Maine Beer Company
"2,335",,Santa's Private Reserve Ale,92,5.30,3.78,Rogue Ales
"2,057",,Hog Heaven: Imperial Red IPA,-,9.20,3.97,Avery Brewing Company
"2,056",,Ruedrich's Red Seal Ale,98,5.40,3.9,North Coast Brewing Co.
"1,554",,Boont Amber Ale,94,5.80,3.84,Anderson Valley Brewing Company
"1,453",,Highland Gaelic Ale,90,5.80,3.81,Highland Brewing
"1,440",,American Amber Ale,90,5.30,3.87,Rogue Ales
"1,418",,California Amber,89,5.50,3.83,Ballast Point Brewing Company
"1,418",,Tocobaga Red Ale,-,7.40,4.13,Cigar City Brewing
"1,304",,Avalanche Ale,78,4.40,3.23,Breckenridge Brewery
"1,224",,CascaZilla,-,7.00,3.86,Ithaca Beer Company
"1,179",,Full Sail Amber,96,6.00,3.75,Full Sail Brewery & Tasting Room & Pub
"1,162",,Global Warmer,-,7.00,3.95,Sixpoint Brewery
"1,125",,Blazing World,-,6.80,4.12,Modern Times Beer
"1,050",,St. Rogue Red,77,5.10,3.79,Rogue Ales
972,,Anchor BigLeaf Maple Autumn Red,85,6.00,3.62,Anchor Brewing Company
961,,Red Wheelbarrow,-,7.00,4.1,Maine Beer Company
959,,Red Tail Ale,87,6.10,3.45,Mendocino Brewing Company
958,,Prohibition Ale,93,6.10,3.84,Speakeasy Ales & Lagers
935,,Tongue Buckler - Imperial Red Ale,-,10.00,3.9,Ballast Point Brewing Company
920,,Fixed Gear,-,6.80,3.75,"Lakefront Brewery, Inc."
874,,Double Red India Pale Ale,-,8.50,4.12,AleSmith Brewing Company
863,,Stone Pataskala Red X IPA,-,7.30,4.1,Stone Brewing
828,,Five AM,-,5.00,3.84,BrewDog
817,,Switchback Ale,-,5.00,3.54,Switchback Brewing Company
809,,Red Hoptober,90,6.00,3.82,New Belgium Brewing
804,,Captain Sig's Northwestern Ale,-,6.20,3.79,Rogue Ales
771,,Shark Attack Double Red Ale,-,9.00,3.86,Port Brewing
756,,Runoff Red IPA,90,6.50,4.04,Odell Brewing Company
642,,AleSmith My Bloody Valentine,-,6.66,4,AleSmith Brewing Company
617,,Blood Of The Unicorn,-,6.50,4.01,Pipeworks Brewing Company
