Ratings,Style,Name,Bros,ABV,Avg,Brewery
,,,,,,
,,,,,,
,,,,,,Brewery
"4,245",,Bell's Kalamazoo Stout,83,6.00,4.03,"Bell's Brewery, Inc."
"4,173",,Chocolate Stout,99,5.80,4.19,Rogue Ales
"3,807",,Obsidian Stout,100,6.40,4.21,Deschutes Brewery
"3,776",,Bell's Special Double Cream Stout,83,6.10,3.97,"Bell's Brewery, Inc."
"3,375",,Chicory Stout,78,5.20,3.75,Dogfish Head Craft Brewery
"3,352",,Sierra Nevada Stout,100,5.80,4.07,Sierra Nevada Brewing Co.
"3,221",,Bell's Java Stout,85,7.50,3.96,"Bell's Brewery, Inc."
"2,525",,Bell's Cherry Stout,-,7.00,3.56,"Bell's Brewery, Inc."
"2,355",,Mean Old Tom,-,6.50,3.96,Maine Beer Company
"1,726",,Dark Horse Tres Blueberry Stout,86,7.50,4.01,Dark Horse Brewing Company
"1,641",,Aphrodisiaque,-,6.50,4.19,Brasserie Dieu du Ciel!
"1,542",,Anderson Valley Wild Turkey Bourbon Barrel Stout,-,6.90,3.75,Anderson Valley Brewing Company
"1,513",,Dominion Oak Barrel Stout,99,6.00,3.92,Old Dominion Brewing Company
"1,330",,Out Of Bounds Stout,80,6.30,3.78,Avery Brewing Company
"1,150",,Coffee Stout,-,6.20,4.1,Sierra Nevada Brewing Co.
"1,066",,Chocolate Stout,-,5.30,3.48,The Fort Collins Brewery
"1,052",,Highland Black Mocha Stout,-,5.00,3.89,Highland Brewing
"1,018",,Samuel Adams Black & Brew Coffee Stout,73,5.80,3.74,Boston Beer Company (Samuel Adams)
"1,015",,Coffee Stout,97,5.75,3.87,New Glarus Brewing Company
"1,010",,Fuel Cafe (Coffee Flavored Stout),-,6.40,3.36,"Lakefront Brewery, Inc."
850,,Diesel,97,6.30,3.81,Sixpoint Brewery
821,,Harpoon Chocolate Stout,-,5.90,3.6,Harpoon Brewery & Beer Hall
815,,Double Shot,-,7.60,4.59,Tree House Brewing Company
698,,Secret Stache Stout,-,5.30,3.89,Finch's Beer Co.
629,,The Commodore,-,6.50,3.89,Ballast Point Brewing Company
626,,Beer Hop Breakfast,-,7.50,4.06,Mikkeller ApS
624,,Arcadia Cocoa Loco,90,7.00,3.58,Arcadia Brewing Company
597,,Bison Organic Chocolate Stout,-,5.00,3.51,Bison Brewing
571,,Voo Doo,-,8.50,3.7,Left Coast Brewing Company
553,,Campfire Stout,-,6.50,3.96,High Water Brewing
545,,Narragansett Autocrat Coffee Milk Stout,-,5.30,3.78,Narragansett Brewing Co.
540,,Decadent Dark Chocolate Ale,-,4.50,3.71,Atwater Brewery
522,,Captain Stout,-,6.00,3.8,Alpine Beer Company
521,,Redwood Stout,93,6.60,4.03,Mad River Brewing Company
511,,Mayan Mocha Stout,-,6.00,3.83,Odd Side Ales
504,,Rise Up Stout,-,6.80,4.14,Evolution Craft Brewing Company
478,,Saint Arnold Winter Stout,-,5.60,3.59,Saint Arnold Brewing Company
468,,Bourbon Barrel Stout (Clay Street Series),-,8.60,3.23,Bluegrass Brewing Co. - East St. Matthew's
439,,Blue Bridge Coffee Stout,-,5.40,3.66,Coronado Brewing Company
