Ratings,Style,Name,Bros,ABV,Avg,Brewery
,,,,,,
,,,,,,
,,,,,,Brewery
"5,925",,Sublimely Self-Righteous Black IPA,94,8.70,4.2,Stone Brewing
"4,592",,Wookey Jack,-,8.30,4.23,Firestone Walker Brewing Co.
"2,576",,NightTime,-,8.20,4.12,Lagunitas Brewing Company
"2,519",,Dark Penance,-,8.90,4.04,Founders Brewing Company
"2,377",,Back In Black,72,6.80,3.68,21st Amendment Brewery
"2,149",,Dubhe Imperial Black IPA,94,9.20,4.09,Uinta Brewing Company
"1,659",,Yakima Glory,94,8.70,3.94,Victory Brewing Company - Downingtown
"1,500",,Snow Day Winter Ale,86,6.20,3.72,New Belgium Brewing
"1,454",,Hoppy Feet,94,7.00,3.89,Clown Shoes
"1,409",,Sierra Nevada Blindfold Black IPA,-,6.80,3.85,Sierra Nevada Brewing Co.
"1,345",,Hop In The Dark Cascadian Dark Ale,94,6.90,4.06,Deschutes Brewery
"1,235",,Dark Horse Reserve Special Black Ale,86,7.50,3.97,Dark Horse Brewing Company
"1,140",,Blakkr,-,9.99,4.2,Surly Brewing Company
"1,053",,Black Top,90,6.90,4.06,New Glarus Brewing Company
"1,033",,Weez,-,7.20,4.04,Maine Beer Company
840,,Mountain Standard Double Black IPA,90,9.50,4.16,Odell Brewing Company
802,,Pitch Black IPA,89,6.50,3.79,Widmer Brothers Brewing Company
695,,Heavy Seas Black Cannon,87,7.25,3.81,Heavy Seas Beer
665,,Grainstorm Black Rye IPA,-,7.70,4.05,Boulevard Brewing Co.
546,,Duck-Rabbit Hoppy Bunny American Black Ale,-,7.30,3.9,The Duck-Rabbit Craft Brewery
537,,Anger,-,7.60,3.97,Greenbush Brewing Company
530,,Black Racer,-,8.10,3.92,Bear Republic Brewing Co.
523,,Stone Enjoy By Black IPA,-,9.40,4.21,Stone Brewing
464,,Hop Strike Black IPA,-,6.50,3.78,Tommyknocker Brewery
440,,Toxic Sludge Black IPA,-,7.00,3.75,Blue Point Brewing Company
440,,He'Brew Death Of A Contract Brewer,-,7.00,3.86,Shmaltz Brewing Company
418,,Midnight Ryder,-,6.50,4.06,Indeed Brewing Company
403,,Hop Odyssey: Black IPA,-,7.20,3.96,Green Flash Brewing Co.
400,,Libertine Black Ale,-,7.20,3.9,BrewDog
399,,James Black Ale,-,6.80,4.23,Hill Farmstead Brewery
396,,Black Rajah,-,6.80,4.11,The Brew Kettle Taproom & Smokehouse / Production Works
389,,Smuttynose Noonan Black IPA,-,6.20,3.86,Smuttynose Brewing Company
388,,Morimoto Black Obi Soba Ale,-,4.80,3.66,Rogue Ales
383,,Close Encounter,-,6.00,3.98,Pipeworks Brewing Company
380,,In The Name Of Suffering,-,7.10,3.87,3 Floyds Brewing Co.
368,,Cold Press Black Ale,-,6.00,4.14,Bent Paddle Brewing Co.
365,,Jukebox-Hero,-,7.50,4.01,Revolution Brewing
358,,Damien,-,8.00,3.93,Surly Brewing Company
354,,New Holland Black Hatter,-,5.50,3.71,New Holland Brewing Company
351,,Society & Solitude #2,-,9.50,4.34,Hill Farmstead Brewery
341,,Arcadia B-Craft Black IPA,-,8.50,3.9,Arcadia Brewing Company
