Ratings,Style,Name,Bros,ABV,Avg,Brewery
,,,,,,
,,,,,,
,,,,,,Brewery
"16,327",,Founders Breakfast Stout,100,8.30,4.47,Founders Brewing Company
"12,085",,Founders KBS (Kentucky Breakfast Stout),-,12.40,4.56,Founders Brewing Company
"12,055",,Bourbon County Brand Stout,95,13.80,4.5,Goose Island Beer Co.
"6,952",,Bourbon County Brand Coffee Stout,-,13.40,4.58,Goose Island Beer Co.
"6,932",,The Abyss,92,12.20,4.48,Deschutes Brewery
"6,666",,AleSmith Speedway Stout,-,12.00,4.37,AleSmith Brewing Company
"5,873",,Storm King Stout,86,9.10,4.1,Victory Brewing Company - Downingtown
"5,720",,BOMB!,-,13.00,4.48,Prairie Artisan Ales
"5,611",,Dragon's Milk,86,11.00,3.97,New Holland Brewing Company
"5,216",,Choklat (Blackwater Series),-,10.00,4.27,Southern Tier Brewing Company
"5,037",,Péché Mortel,100,9.50,4.39,Brasserie Dieu du Ciel!
"4,737",,World Wide Stout,100,18.00,4.14,Dogfish Head Craft Brewery
"4,392",,Cappuccino Stout,94,9.20,3.91,Lagunitas Brewing Company
"4,287",,Founders CBS Imperial Stout,-,10.60,4.63,Founders Brewing Company
"4,200",,Bell's Black Note Stout,-,11.40,4.5,"Bell's Brewery, Inc."
"4,129",,Evil Twin Imperial Biscotti Break,-,11.50,4.32,Evil Twin Brewing
"4,038",,Hunahpu's Imperial Stout,99,11.00,4.51,Cigar City Brewing
"3,902",,W-n-B Coffee Oatmeal Imperial Stout,96,9.40,4.25,Terrapin Beer Company
"3,815",,Black Tuesday,-,19.20,4.47,The Bruery
"3,722",,Miles Davis' Bitches Brew,-,9.00,4.13,Dogfish Head Craft Brewery
"3,716",,Espresso Oak Aged Yeti Imperial Stout,-,9.50,4.24,Great Divide Brewing Company
"3,620",,Big Bad Baptist,96,11.80,4.32,Epic Brewing Company
"3,111",,Double Stout,98,8.80,4.09,Green Flash Brewing Co.
"3,048",,Chocolate Oak Aged Yeti,-,9.50,4.16,Great Divide Brewing Company
"3,040",,Warlock,-,10.00,3.96,Southern Tier Brewing Company
"2,829",,Beer Geek Brunch Weasel,-,10.90,4.31,Mikkeller ApS
"2,658",,Mexican Cake,-,10.50,4.38,Westbrook Brewing Co.
"2,645",,Older Viscosity,-,12.00,4.32,Port Brewing
"2,617",,Chocolate Rain,-,18.50,4.43,The Bruery
"2,592",,Uncle Jacob's Stout,-,17.10,4.36,Avery Brewing Company
"2,530",,Dark Truth Stout,90,9.70,3.96,Boulevard Brewing Co.
"2,461",,Brewer's Reserve Bourbon Barrel Stout,-,9.50,4.19,Central Waters Brewing Co.
"2,416",,Abraxas,95,10.00,4.43,Perennial Artisan Ales
"2,381",,Big Bear Black Stout,100,8.10,4.13,Bear Republic Brewing Co.
"2,313",,Mokah,90,10.00,4.17,Southern Tier Brewing Company
"2,192",,Tweak,-,17.50,4.4,Avery Brewing Company
"2,096",,Undead Party Crasher,-,10.00,4.15,Clown Shoes
"2,074",,AleSmith Speedway Stout - Bourbon Barrel Aged,-,12.00,4.47,AleSmith Brewing Company
