,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - MIN vs. TOR",W,240,112,39,80,48.8,7,19,36.8,27,30,90.0,11,25,36,22,8,3,8,20,2017-02-08 00:00:00,TOR,HOME
1,"FEB 06, 2017 - MIN vs. MIA",L,240,113,43,80,53.8,5,11,45.5,22,28,78.6,8,26,34,25,13,1,10,15,2017-02-06 00:00:00,MIA,HOME
2,"FEB 04, 2017 - MIN vs. MEM",L,240,99,35,84,41.7,10,26,38.5,19,24,79.2,16,30,46,22,4,3,12,27,2017-02-04 00:00:00,MEM,HOME
3,"FEB 03, 2017 - MIN @ DET",L,240,108,44,89,49.4,5,17,29.4,15,19,78.9,11,29,40,25,5,6,13,19,2017-02-03 00:00:00,DET,AWAY
4,"FEB 01, 2017 - MIN @ CLE",L,240,97,41,94,43.6,7,21,33.3,8,10,80.0,12,26,38,26,7,3,13,19,2017-02-01 00:00:00,CLE,AWAY
5,"JAN 30, 2017 - MIN vs. ORL",W,265,111,40,91,44.0,12,29,41.4,19,26,73.1,9,41,50,29,3,11,11,20,2017-01-30 00:00:00,ORL,HOME
6,"JAN 28, 2017 - MIN vs. BKN",W,240,129,47,93,50.5,9,20,45.0,26,32,81.3,13,36,49,27,8,8,11,21,2017-01-28 00:00:00,BKN,HOME
7,"JAN 26, 2017 - MIN vs. IND",L,240,103,36,81,44.4,10,27,37.0,21,27,77.8,6,28,34,27,13,5,11,20,2017-01-26 00:00:00,IND,HOME
8,"JAN 24, 2017 - MIN @ PHX",W,240,112,44,84,52.4,6,17,35.3,18,24,75.0,10,32,42,24,8,4,15,21,2017-01-24 00:00:00,PHX,AWAY
9,"JAN 22, 2017 - MIN vs. DEN",W,240,111,45,85,52.9,6,15,40.0,15,21,71.4,8,28,36,29,11,8,14,24,2017-01-22 00:00:00,DEN,HOME
10,"JAN 19, 2017 - MIN @ LAC",W,240,104,40,84,47.6,5,16,31.3,19,25,76.0,13,30,43,25,3,2,13,21,2017-01-19 00:00:00,LAC,AWAY
11,"JAN 17, 2017 - MIN @ SAS",L,240,114,36,73,49.3,6,13,46.2,36,41,87.8,6,33,39,26,5,6,18,22,2017-01-17 00:00:00,SAS,AWAY
12,"JAN 15, 2017 - MIN @ DAL",L,240,87,35,80,43.8,5,21,23.8,12,18,66.7,10,34,44,20,7,1,12,16,2017-01-15 00:00:00,DAL,AWAY
13,"JAN 13, 2017 - MIN vs. OKC",W,240,96,39,86,45.3,5,18,27.8,13,14,92.9,9,33,42,21,11,6,15,22,2017-01-13 00:00:00,OKC,HOME
14,"JAN 11, 2017 - MIN vs. HOU",W,240,119,44,81,54.3,8,23,34.8,23,25,92.0,9,40,49,31,8,9,17,19,2017-01-11 00:00:00,HOU,HOME
15,"JAN 09, 2017 - MIN vs. DAL",W,240,101,40,71,56.3,6,16,37.5,15,21,71.4,9,33,42,30,11,4,18,24,2017-01-09 00:00:00,DAL,HOME
16,"JAN 07, 2017 - MIN vs. UTA",L,240,92,35,80,43.8,7,20,35.0,15,21,71.4,14,34,48,23,3,3,15,21,2017-01-07 00:00:00,UTA,HOME
17,"JAN 06, 2017 - MIN @ WAS",L,240,105,42,88,47.7,7,18,38.9,14,17,82.4,12,26,38,22,6,2,10,15,2017-01-06 00:00:00,WAS,AWAY
18,"JAN 03, 2017 - MIN @ PHI",L,240,91,33,82,40.2,7,24,29.2,18,20,90.0,9,38,47,20,7,6,17,24,2017-01-03 00:00:00,PHI,AWAY
19,"JAN 01, 2017 - MIN vs. POR",L,240,89,35,87,40.2,7,23,30.4,12,18,66.7,13,34,47,21,11,5,16,25,2017-01-01 00:00:00,POR,HOME
20,"DEC 30, 2016 - MIN vs. MIL",W,240,116,43,77,55.8,13,25,52.0,17,21,81.0,8,26,34,30,8,5,11,17,2016-12-30 00:00:00,MIL,HOME
21,"DEC 28, 2016 - MIN @ DEN",L,240,103,42,94,44.7,7,25,28.0,12,17,70.6,16,27,43,29,8,3,8,15,2016-12-28 00:00:00,DEN,AWAY
22,"DEC 26, 2016 - MIN vs. ATL",W,240,104,37,82,45.1,15,31,48.4,15,18,83.3,11,29,40,26,11,3,14,19,2016-12-26 00:00:00,ATL,HOME
23,"DEC 25, 2016 - MIN @ OKC",L,240,100,39,83,47.0,4,12,33.3,18,23,78.3,11,25,36,19,11,2,12,21,2016-12-25 00:00:00,OKC,AWAY
24,"DEC 23, 2016 - MIN vs. SAC",L,240,105,36,79,45.6,12,32,37.5,21,26,80.8,12,30,42,18,5,4,12,21,2016-12-23 00:00:00,SAC,HOME
25,"DEC 21, 2016 - MIN @ ATL",W,240,92,35,83,42.2,9,29,31.0,13,14,92.9,15,37,52,21,6,6,17,11,2016-12-21 00:00:00,ATL,AWAY
26,"DEC 19, 2016 - MIN vs. PHX",W,240,115,42,86,48.8,7,19,36.8,24,25,96.0,11,30,41,26,8,7,19,25,2016-12-19 00:00:00,PHX,HOME
27,"DEC 17, 2016 - MIN vs. HOU",L,265,109,41,92,44.6,7,21,33.3,20,27,74.1,13,42,55,29,9,6,21,21,2016-12-17 00:00:00,HOU,HOME
28,"DEC 13, 2016 - MIN @ CHI",W,240,99,38,86,44.2,6,21,28.6,17,22,77.3,15,34,49,24,3,8,14,14,2016-12-13 00:00:00,CHI,AWAY
29,"DEC 11, 2016 - MIN vs. GSW",L,240,108,36,81,44.4,9,24,37.5,27,36,75.0,16,35,51,17,3,2,14,21,2016-12-11 00:00:00,GSW,HOME
30,"DEC 09, 2016 - MIN vs. DET",L,240,90,37,78,47.4,3,16,18.8,13,20,65.0,7,30,37,19,4,2,12,16,2016-12-09 00:00:00,DET,HOME
31,"DEC 08, 2016 - MIN @ TOR",L,240,110,45,88,51.1,9,28,32.1,11,15,73.3,16,27,43,19,3,2,13,26,2016-12-08 00:00:00,TOR,AWAY
32,"DEC 06, 2016 - MIN vs. SAS",L,240,91,36,82,43.9,7,20,35.0,12,18,66.7,11,30,41,19,4,2,15,20,2016-12-06 00:00:00,SAS,HOME
33,"DEC 03, 2016 - MIN @ CHA",W,265,125,48,106,45.3,10,27,37.0,19,22,86.4,14,37,51,32,10,10,10,19,2016-12-03 00:00:00,CHA,AWAY
34,"DEC 02, 2016 - MIN @ NYK",L,240,114,41,88,46.6,10,28,35.7,22,24,91.7,13,30,43,25,6,6,14,25,2016-12-02 00:00:00,NYK,AWAY
35,"NOV 30, 2016 - MIN vs. NYK",L,240,104,34,77,44.2,4,19,21.1,32,39,82.1,11,29,40,17,9,5,15,17,2016-11-30 00:00:00,NYK,HOME
36,"NOV 28, 2016 - MIN vs. UTA",L,240,103,36,81,44.4,7,19,36.8,24,25,96.0,10,29,39,26,8,2,14,23,2016-11-28 00:00:00,UTA,HOME
37,"NOV 26, 2016 - MIN @ GSW",L,240,102,41,89,46.1,10,35,28.6,10,12,83.3,8,24,32,22,8,3,13,15,2016-11-26 00:00:00,GSW,AWAY
38,"NOV 25, 2016 - MIN @ PHX",W,240,98,34,85,40.0,7,22,31.8,23,25,92.0,11,28,39,16,15,8,17,27,2016-11-25 00:00:00,PHX,AWAY
39,"NOV 23, 2016 - MIN @ NOP",L,240,96,33,86,38.4,3,17,17.6,27,33,81.8,8,33,41,23,12,3,17,19,2016-11-23 00:00:00,NOP,AWAY
40,"NOV 21, 2016 - MIN vs. BOS",L,240,93,36,86,41.9,4,24,16.7,17,25,68.0,16,35,51,23,5,4,15,19,2016-11-21 00:00:00,BOS,HOME
41,"NOV 19, 2016 - MIN @ MEM",L,240,71,25,64,39.1,7,22,31.8,14,22,63.6,5,29,34,16,5,5,16,25,2016-11-19 00:00:00,MEM,AWAY
42,"NOV 17, 2016 - MIN vs. PHI",W,240,110,43,84,51.2,6,25,24.0,18,20,90.0,14,34,48,18,7,8,13,19,2016-11-17 00:00:00,PHI,HOME
43,"NOV 15, 2016 - MIN vs. CHA",L,240,108,38,89,42.7,15,35,42.9,17,21,81.0,14,29,43,25,4,5,18,19,2016-11-15 00:00:00,CHA,HOME
44,"NOV 13, 2016 - MIN vs. LAL",W,240,125,42,80,52.5,13,27,48.1,28,42,66.7,9,35,44,28,10,4,10,19,2016-11-13 00:00:00,LAL,HOME
45,"NOV 12, 2016 - MIN vs. LAC",L,240,105,40,89,44.9,8,22,36.4,17,21,81.0,15,24,39,26,11,3,13,31,2016-11-12 00:00:00,LAC,HOME
46,"NOV 09, 2016 - MIN @ ORL",W,240,123,45,87,51.7,13,23,56.5,20,26,76.9,10,35,45,27,8,5,6,23,2016-11-09 00:00:00,ORL,AWAY
47,"NOV 08, 2016 - MIN @ BKN",L,240,110,39,92,42.4,12,28,42.9,20,28,71.4,15,26,41,20,11,3,16,21,2016-11-08 00:00:00,BKN,AWAY
48,"NOV 05, 2016 - MIN @ OKC",L,240,92,33,84,39.3,4,19,21.1,22,29,75.9,17,24,41,12,7,8,17,19,2016-11-05 00:00:00,OKC,AWAY
49,"NOV 03, 2016 - MIN vs. DEN",L,240,99,35,88,39.8,9,22,40.9,20,25,80.0,14,29,43,20,8,4,16,22,2016-11-03 00:00:00,DEN,HOME
50,"NOV 01, 2016 - MIN vs. MEM",W,240,116,43,78,55.1,12,20,60.0,18,23,78.3,10,40,50,29,10,5,21,22,2016-11-01 00:00:00,MEM,HOME
51,"OCT 29, 2016 - MIN @ SAC",L,240,103,37,70,52.9,7,22,31.8,22,31,71.0,7,29,36,19,6,5,11,25,2016-10-29 00:00:00,SAC,AWAY
52,"OCT 26, 2016 - MIN @ MEM",L,240,98,36,86,41.9,6,18,33.3,20,29,69.0,15,30,45,20,6,5,10,23,2016-10-26 00:00:00,MEM,AWAY
