DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.5,8.3,41.6,100%,44.9,-3.3
3 Pointers,1.2,3.7,32.0,44.6%,36.3,-4.3
2 Pointers,2.3,4.6,49.3,55.4%,49.4,-0.1
Less Than 6 Ft,1.3,2.1,60.2,25.0%,61.5,-1.3
Less Than 10 Ft,1.5,2.8,53.8,33.2%,55.5,-1.7
Greater Than 15 Ft,1.7,5.1,34.0,61.5%,38.1,-4.1
