DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.6,5.4,48.3,100%,45.6,2.7
3 Pointers,0.9,2.0,43.2,36.8%,35.8,7.4
2 Pointers,1.8,3.4,51.2,63.2%,51.2,0.0
Less Than 6 Ft,1.0,1.6,60.7,30.3%,61.3,-0.7
Less Than 10 Ft,1.3,2.2,57.3,40.8%,56.7,0.6
Greater Than 15 Ft,1.2,2.8,43.8,52.2%,36.8,7.0
