DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.4,9.1,48.8,100%,44.1,4.7
3 Pointers,1.3,3.4,37.7,37.3%,35.4,2.3
2 Pointers,3.1,5.7,55.4,62.7%,49.3,6.1
Less Than 6 Ft,1.6,2.5,63.2,27.5%,61.4,1.8
Less Than 10 Ft,2.0,3.4,57.8,37.8%,55.8,1.9
Greater Than 15 Ft,2.0,4.9,40.3,54.2%,37.1,3.1
