,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,54,48.3,109.2,32,22,0.593,39.7,85.5,46.5,9.3,25.0,37.1,20.5,25.4,80.6,10.9,31.9,42.8,18.7,12.1,8.6,4.9,21.0,4.5,38.0,83.4,45.5,10.0,27.4,36.3,18.8,24.1,78.1,10.6,32.5,43.1,22.2,15.2,6.4,4.7,4.9,20.5,104.7
1,Home,27,48.2,112.7,18,9,0.667,40.5,85.2,47.5,9.4,24.3,38.8,22.3,27.0,82.8,11.7,32.5,44.2,19.4,12.4,8.3,5.3,20.9,8.9,38.3,85.3,44.8,9.6,27.6,34.8,17.7,23.1,76.5,11.1,30.3,41.3,21.2,14.4,6.7,4.3,5.3,20.9,103.8
2,Road,27,48.4,105.7,14,13,0.519,39.0,85.7,45.5,9.1,25.7,35.4,18.6,23.8,78.1,10.0,31.4,41.4,18.0,11.9,9.0,4.6,21.2,0.1,37.7,81.5,46.2,10.3,27.3,37.9,20.0,25.1,79.6,10.0,34.7,44.8,23.2,16.0,6.0,5.1,4.6,20.0,105.6
3,Wins,32,48.3,112.9,32,0,1.0,41.7,85.8,48.5,9.6,23.9,40.1,20.0,24.6,81.2,11.0,33.3,44.3,19.9,12.0,8.9,5.3,19.8,12.8,37.0,84.6,43.8,9.7,28.5,34.1,16.3,21.3,76.5,11.3,31.4,42.7,21.0,15.7,6.5,4.1,5.3,20.2,100.0
4,Losses,22,48.2,103.9,0,22,0.0,37.0,85.0,43.5,8.8,26.7,33.0,21.2,26.5,79.8,10.7,29.9,40.6,17.0,12.3,8.3,4.5,22.9,-7.6,39.3,81.7,48.1,10.3,25.9,39.9,22.6,28.3,79.9,9.5,34.1,43.6,24.0,14.4,6.2,5.5,4.5,20.8,111.5
5,October,3,48.0,101.7,2,1,0.667,39.0,88.0,44.3,3.7,16.7,22.0,20.0,24.0,83.3,14.3,34.0,48.3,15.0,12.7,8.0,4.0,23.3,6.0,33.7,81.3,41.4,8.3,25.3,32.9,20.0,26.3,75.9,9.3,32.7,42.0,17.0,13.3,6.0,4.0,4.0,19.0,95.7
6,November,15,48.3,111.3,10,5,0.667,39.7,83.6,47.5,10.0,25.1,39.9,21.9,27.1,80.8,10.1,31.1,41.2,20.5,12.1,9.1,4.5,21.7,5.3,38.3,82.3,46.6,10.3,28.7,36.0,19.1,24.4,78.1,10.3,32.0,42.3,23.7,16.1,6.5,4.7,4.5,21.5,106.1
7,December,14,48.0,112.1,10,4,0.714,40.9,87.0,47.0,10.6,26.4,40.1,19.7,24.5,80.5,11.4,31.6,42.9,20.1,11.4,9.9,4.9,19.5,11.1,38.4,85.5,44.9,9.4,27.4,34.1,15.0,20.4,73.4,12.5,32.6,45.1,22.3,16.6,6.2,4.0,4.9,20.5,101.1
8,January,17,48.6,107.4,8,9,0.471,38.9,86.2,45.2,8.7,25.1,34.7,20.8,25.6,81.1,10.8,32.4,43.2,16.8,12.4,8.1,5.8,20.8,-0.6,38.3,83.4,45.9,10.4,26.6,39.1,20.9,25.9,80.9,9.5,33.4,42.9,21.8,14.5,6.5,5.4,5.8,20.2,107.9
9,February,5,48.0,105.6,2,3,0.4,39.6,83.0,47.7,8.8,26.0,33.8,17.6,23.0,76.5,10.0,32.6,42.6,18.4,13.0,6.2,3.6,22.6,0.2,37.2,82.6,45.0,10.0,27.6,36.2,21.0,26.2,80.2,10.0,30.6,40.6,22.2,12.0,6.6,4.8,3.6,19.0,105.4
