DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,5.5,10.5,52.3,100%,48.3,4.0
3 Pointers,0.5,1.3,39.4,12.1%,35.8,3.6
2 Pointers,5.0,9.2,54.1,87.9%,51.5,2.5
Less Than 6 Ft,2.8,4.7,60.3,44.4%,61.3,-1.0
Less Than 10 Ft,3.5,6.2,55.9,59.1%,56.4,-0.5
Greater Than 15 Ft,1.5,3.4,44.6,32.1%,38.5,6.1
