,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - NOP vs. UTA",L,240,94,35,77,45.5,5,24,20.8,19,25,76.0,7,30,37,17,6,6,13,17,2017-02-08 00:00:00,UTA,HOME
1,"FEB 06, 2017 - NOP vs. PHX",W,240,111,42,92,45.7,9,26,34.6,18,22,81.8,9,39,48,20,11,11,13,25,2017-02-06 00:00:00,PHX,HOME
2,"FEB 04, 2017 - NOP @ WAS",L,240,91,37,84,44.0,5,17,29.4,12,22,54.5,9,33,42,18,4,6,15,16,2017-02-04 00:00:00,WAS,AWAY
3,"FEB 01, 2017 - NOP @ DET",L,240,98,41,82,50.0,5,21,23.8,11,14,78.6,3,32,35,21,6,5,14,15,2017-02-01 00:00:00,DET,AWAY
4,"JAN 31, 2017 - NOP @ TOR",L,265,106,40,94,42.6,12,30,40.0,14,19,73.7,13,34,47,17,11,7,11,16,2017-01-31 00:00:00,TOR,AWAY
5,"JAN 29, 2017 - NOP vs. WAS",L,240,94,38,84,45.2,10,32,31.3,8,15,53.3,10,32,42,25,8,3,14,12,2017-01-29 00:00:00,WAS,HOME
6,"JAN 27, 2017 - NOP vs. SAS",W,240,119,48,93,51.6,13,30,43.3,10,14,71.4,14,39,53,29,8,6,14,20,2017-01-27 00:00:00,SAS,HOME
7,"JAN 25, 2017 - NOP vs. OKC",L,240,105,41,96,42.7,11,27,40.7,12,19,63.2,9,37,46,23,7,9,12,23,2017-01-25 00:00:00,OKC,HOME
8,"JAN 23, 2017 - NOP vs. CLE",W,240,124,43,87,49.4,16,39,41.0,22,30,73.3,7,35,42,26,8,11,8,22,2017-01-23 00:00:00,CLE,HOME
9,"JAN 20, 2017 - NOP vs. BKN",L,240,114,43,105,41.0,11,34,32.4,17,23,73.9,18,29,47,21,8,8,9,24,2017-01-20 00:00:00,BKN,HOME
10,"JAN 18, 2017 - NOP vs. ORL",W,240,118,46,93,49.5,15,36,41.7,11,15,73.3,6,39,45,28,11,5,8,13,2017-01-18 00:00:00,ORL,HOME
11,"JAN 16, 2017 - NOP @ IND",L,240,95,36,83,43.4,10,25,40.0,13,18,72.2,8,30,38,18,7,6,14,17,2017-01-16 00:00:00,IND,AWAY
12,"JAN 14, 2017 - NOP @ CHI",L,240,99,39,84,46.4,7,23,30.4,14,21,66.7,6,36,42,27,3,6,11,19,2017-01-14 00:00:00,CHI,AWAY
13,"JAN 12, 2017 - NOP @ BKN",W,240,104,38,90,42.2,11,32,34.4,17,25,68.0,9,41,50,16,12,4,16,16,2017-01-12 00:00:00,BKN,AWAY
14,"JAN 09, 2017 - NOP @ NYK",W,240,110,41,84,48.8,12,27,44.4,16,19,84.2,8,31,39,24,11,7,8,14,2017-01-09 00:00:00,NYK,AWAY
15,"JAN 07, 2017 - NOP @ BOS",L,240,108,40,85,47.1,10,31,32.3,18,23,78.3,9,33,42,22,7,7,11,20,2017-01-07 00:00:00,BOS,AWAY
16,"JAN 05, 2017 - NOP vs. ATL",L,240,94,34,93,36.6,15,35,42.9,11,14,78.6,15,37,52,19,8,4,15,18,2017-01-05 00:00:00,ATL,HOME
17,"JAN 02, 2017 - NOP @ CLE",L,240,82,32,88,36.4,11,26,42.3,7,10,70.0,8,37,45,26,6,6,13,18,2017-01-02 00:00:00,CLE,AWAY
18,"DEC 30, 2016 - NOP vs. NYK",W,240,104,38,85,44.7,12,29,41.4,16,17,94.1,2,40,42,22,4,5,13,12,2016-12-30 00:00:00,NYK,HOME
19,"DEC 28, 2016 - NOP vs. LAC",W,240,102,40,87,46.0,10,29,34.5,12,21,57.1,8,37,45,23,11,5,6,16,2016-12-28 00:00:00,LAC,HOME
20,"DEC 26, 2016 - NOP vs. DAL",W,240,111,37,70,52.9,12,25,48.0,25,30,83.3,5,36,41,24,6,3,10,19,2016-12-26 00:00:00,DAL,HOME
21,"DEC 23, 2016 - NOP vs. MIA",W,240,91,33,89,37.1,11,28,39.3,14,21,66.7,11,41,52,17,8,9,9,20,2016-12-23 00:00:00,MIA,HOME
22,"DEC 21, 2016 - NOP vs. OKC",L,240,110,42,88,47.7,8,20,40.0,18,23,78.3,6,27,33,25,4,3,9,18,2016-12-21 00:00:00,OKC,HOME
23,"DEC 20, 2016 - NOP @ PHI",W,240,108,40,93,43.0,10,17,58.8,18,26,69.2,16,40,56,28,2,3,11,16,2016-12-20 00:00:00,PHI,AWAY
24,"DEC 18, 2016 - NOP @ SAS",L,240,100,41,89,46.1,10,26,38.5,8,14,57.1,8,29,37,29,8,6,10,17,2016-12-18 00:00:00,SAS,AWAY
25,"DEC 16, 2016 - NOP @ HOU",L,240,100,40,98,40.8,9,27,33.3,11,20,55.0,13,34,47,17,4,6,11,16,2016-12-16 00:00:00,HOU,AWAY
26,"DEC 15, 2016 - NOP vs. IND",W,240,102,36,85,42.4,10,27,37.0,20,28,71.4,11,44,55,23,7,8,16,16,2016-12-15 00:00:00,IND,HOME
