DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,0.0,1.0,0.0,100%,34.0,-34.0
3 Pointers,-,-,-,-%,-,-
2 Pointers,0.0,1.0,0.0,100%,39.3,-39.3
Less Than 6 Ft,-,-,-,-%,-,-
Less Than 10 Ft,0.0,1.0,0.0,100%,45.3,-45.3
Greater Than 15 Ft,-,-,-,-%,-,-
