,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,54,48.2,100.5,34,20,0.63,36.6,78.4,46.7,9.6,26.2,36.7,17.7,23.4,75.4,8.9,34.0,42.9,19.7,13.6,6.7,4.9,19.2,4.8,35.9,82.2,43.7,8.0,22.7,35.4,15.9,20.8,76.3,9.3,31.1,40.4,17.7,12.2,7.1,3.6,4.9,20.4,95.7
1,Home,28,48.0,101.0,19,9,0.679,36.1,76.9,46.9,10.2,27.1,37.6,18.5,24.5,75.8,8.2,34.8,43.0,19.4,13.7,6.7,4.6,18.4,7.5,35.2,82.3,42.8,8.6,23.3,36.8,14.5,19.1,75.9,9.3,30.8,40.1,15.6,12.4,7.0,3.6,4.6,21.0,93.5
2,Road,26,48.4,100.0,15,11,0.577,37.1,80.0,46.4,9.0,25.3,35.6,16.7,22.3,75.0,9.7,33.2,42.9,19.9,13.5,6.7,5.1,20.0,2.0,36.6,82.0,44.7,7.5,22.1,33.8,17.3,22.6,76.7,9.3,31.5,40.8,20.0,12.0,7.2,3.6,5.1,19.8,98.0
3,Wins,34,48.1,104.7,34,0,1.0,38.0,78.5,48.4,9.9,26.2,37.9,18.8,25.3,74.5,9.1,35.1,44.2,20.2,13.2,7.0,5.4,18.9,12.9,34.4,82.0,42.0,7.5,22.4,33.5,15.5,20.3,76.3,9.4,30.4,39.7,16.6,13.0,6.6,3.4,5.4,21.0,91.8
4,Losses,20,48.3,93.4,0,20,0.0,34.3,78.2,43.8,9.2,26.4,34.7,15.7,20.3,77.3,8.6,32.2,40.8,18.8,14.3,6.2,4.0,19.7,-8.9,38.4,82.5,46.6,9.0,23.3,38.5,16.5,21.7,76.2,9.3,32.4,41.6,19.7,10.7,8.0,3.9,4.0,19.6,102.3
5,October,3,48.0,91.7,1,2,0.333,33.3,76.7,43.5,7.0,22.7,30.9,18.0,23.0,78.3,8.7,31.7,40.3,17.0,15.3,7.0,4.7,19.7,-5.0,35.0,80.7,43.4,9.3,23.0,40.6,17.3,21.0,82.5,10.0,32.0,42.0,18.3,14.3,6.3,4.7,4.7,20.3,96.7
6,November,16,48.0,100.0,10,6,0.625,36.7,78.8,46.6,9.2,26.3,35.0,17.4,22.6,77.1,8.0,35.8,43.8,18.4,12.0,6.1,5.1,20.1,6.8,34.9,82.9,42.1,7.7,22.7,33.9,15.8,21.4,73.8,9.4,32.1,41.4,18.2,11.2,6.6,4.2,5.1,19.8,93.3
7,December,15,48.0,99.3,10,5,0.667,35.7,74.9,47.6,10.9,27.3,39.9,17.1,23.1,73.8,8.4,33.0,41.4,20.3,15.5,6.1,5.5,18.1,3.4,36.8,84.3,43.7,7.8,21.5,36.3,14.5,18.6,77.8,11.1,29.2,40.3,16.3,11.8,7.9,2.4,5.5,20.5,95.9
8,January,15,48.3,100.1,9,6,0.6,36.3,80.5,45.1,8.5,24.7,34.5,19.0,25.3,75.0,9.9,33.0,42.9,19.5,12.9,7.4,4.5,18.3,2.8,36.3,80.8,44.9,8.5,23.7,36.0,16.2,20.8,77.9,8.4,32.1,40.5,18.3,12.9,6.6,3.7,4.5,21.5,97.3
9,February,5,49.0,112.2,4,1,0.8,42.0,82.4,51.0,12.2,29.8,40.9,16.0,21.4,74.8,10.8,35.6,46.4,24.0,14.2,8.4,3.6,21.8,14.8,35.8,78.6,45.5,7.6,23.4,32.5,18.2,25.0,72.8,6.4,30.0,36.4,18.6,12.8,8.2,4.4,3.6,19.0,97.4
10,Pre All-Star,54,48.2,100.5,34,20,0.63,36.6,78.4,46.7,9.6,26.2,36.7,17.7,23.4,75.4,8.9,34.0,42.9,19.7,13.6,6.7,4.9,19.2,4.8,35.9,82.2,43.7,8.0,22.7,35.4,15.9,20.8,76.3,9.3,31.1,40.4,17.7,12.2,7.1,3.6,4.9,20.4,95.7
11,0 Days Rest,13,48.4,102.2,7,6,0.538,37.0,80.0,46.3,9.6,24.8,38.8,18.5,24.5,75.5,8.6,33.3,41.9,20.6,12.8,6.8,4.5,20.5,3.2,37.3,80.3,46.5,9.0,23.8,37.7,15.3,21.8,70.3,7.6,31.8,39.4,20.5,13.1,6.8,3.3,4.5,20.9,98.9
12,1 Days Rest,30,48.0,98.6,18,12,0.6,36.0,77.7,46.3,9.8,27.1,36.2,16.8,22.3,75.5,8.8,33.9,42.7,19.8,13.6,6.7,5.2,18.4,3.7,36.0,83.1,43.3,7.6,22.7,33.5,15.3,19.6,78.2,10.0,30.9,40.9,16.6,11.5,7.5,3.5,5.2,20.1,94.9
13,2 Days Rest,6,48.0,101.3,5,1,0.833,36.8,78.7,46.8,8.7,26.3,32.9,19.0,26.0,73.1,9.5,38.2,47.7,16.8,13.3,6.0,4.3,18.3,12.2,32.3,83.5,38.7,8.2,22.7,36.0,16.3,21.2,77.2,9.2,32.5,41.7,16.5,12.2,6.3,4.5,4.3,21.0,89.2
14,3 Days Rest,4,49.3,106.8,4,0,1.0,38.5,77.0,50.0,10.3,25.3,40.6,19.5,26.3,74.3,11.0,33.0,44.0,20.0,16.5,7.3,4.3,22.3,10.8,35.0,81.3,43.1,6.8,20.3,33.3,19.3,25.5,75.5,11.5,28.5,40.0,18.3,14.0,6.5,3.8,4.3,21.5,96.0
15,5 Days Rest,1,48.0,104.0,0,1,0.0,40.0,82.0,48.8,8.0,24.0,33.3,16.0,16.0,100.0,6.0,25.0,31.0,19.0,14.0,9.0,5.0,19.0,-9.0,39.0,75.0,52.0,13.0,19.0,68.4,22.0,22.0,100.0,5.0,29.0,34.0,22.0,13.0,5.0,3.0,5.0,18.0,113.0
