DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,6.6,13.3,49.2,100%,45.5,3.7
3 Pointers,1.2,3.4,33.9,25.8%,36.1,-2.2
2 Pointers,5.4,9.9,54.5,74.2%,49.8,4.7
Less Than 6 Ft,2.4,3.7,65.2,27.5%,62.1,3.1
Less Than 10 Ft,3.2,5.1,62.0,38.3%,56.9,5.1
Greater Than 15 Ft,2.6,6.6,38.7,49.6%,36.9,1.7
