DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,5.0,11.5,43.9,100%,44.3,-0.4
3 Pointers,1.9,5.6,33.1,48.8%,36.4,-3.4
2 Pointers,3.2,5.9,54.3,51.2%,49.0,5.2
Less Than 6 Ft,1.7,2.3,75.0,19.6%,60.7,14.3
Less Than 10 Ft,2.1,3.1,68.0,26.7%,55.3,12.7
Greater Than 15 Ft,2.7,7.8,34.7,67.5%,37.8,-3.1
