,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.3,105.3,9,44,0.17,37.8,85.7,44.1,11.0,32.4,33.9,18.8,23.6,79.4,8.7,35.2,44.0,21.1,17.0,7.0,4.7,20.9,-8.8,42.5,92.1,46.1,10.2,28.0,36.5,19.0,24.7,76.8,11.4,36.4,47.9,23.2,13.2,9.8,6.0,4.7,20.1,114.1
1,Home,28,48.5,103.1,7,21,0.25,37.2,86.0,43.2,10.4,32.2,32.3,18.3,23.1,79.2,9.3,35.7,45.0,20.4,17.5,6.9,4.8,21.2,-8.2,41.3,92.3,44.7,10.4,28.7,36.3,18.3,24.4,75.1,12.0,36.5,48.4,21.6,13.6,10.2,5.5,4.8,20.5,111.3
2,Road,25,48.0,107.7,2,23,0.08,38.4,85.3,45.0,11.6,32.7,35.6,19.3,24.2,79.7,8.1,34.7,42.8,21.9,16.5,7.2,4.6,20.7,-9.5,43.8,91.8,47.6,10.0,27.3,36.7,19.7,25.0,78.8,10.8,36.4,47.2,25.0,12.6,9.5,6.6,4.6,19.5,117.2
3,Wins,9,49.1,118.4,9,0,1.0,40.9,84.0,48.7,12.7,32.2,39.3,24.0,29.6,81.2,8.6,40.6,49.1,22.0,16.4,7.1,5.3,21.4,10.6,40.3,98.8,40.8,9.4,30.4,31.0,17.8,23.9,74.4,15.7,33.0,48.7,20.0,13.0,9.1,4.4,5.3,23.1,107.9
4,Losses,44,48.1,102.6,0,44,0.0,37.1,86.0,43.1,10.6,32.5,32.8,17.7,22.4,78.9,8.8,34.1,42.9,20.9,17.1,7.0,4.6,20.8,-12.8,42.9,90.7,47.3,10.4,27.5,37.7,19.2,24.8,77.3,10.6,37.1,47.7,23.8,13.2,10.0,6.3,4.6,19.4,115.4
5,October,4,48.0,104.0,1,3,0.25,37.8,91.0,41.5,10.3,35.5,28.9,18.3,22.3,82.0,13.5,33.0,46.5,19.8,16.3,9.5,4.0,19.8,-7.0,42.8,91.0,47.0,9.3,26.3,35.2,16.3,20.0,81.3,11.8,37.8,49.5,27.3,16.5,10.8,7.3,4.0,21.8,111.0
6,November,13,48.8,106.8,4,9,0.308,38.1,85.4,44.6,11.8,34.3,34.5,18.8,24.5,76.8,7.7,35.2,42.8,21.0,17.0,7.6,4.2,20.2,-8.7,43.7,92.4,47.3,11.2,29.8,37.6,16.9,22.2,76.4,10.8,37.5,48.2,23.9,14.3,10.2,4.4,4.2,21.0,115.5
7,December,15,48.0,105.8,3,12,0.2,37.1,84.0,44.1,10.7,31.0,34.4,21.0,26.8,78.4,9.4,34.9,44.3,21.4,17.9,7.3,5.0,21.5,-8.6,41.8,92.1,45.4,10.1,28.9,35.1,20.7,26.3,78.7,12.6,34.9,47.5,23.7,13.5,10.5,6.6,5.0,20.9,114.4
8,January,16,48.0,105.5,1,15,0.063,38.8,86.3,45.0,11.1,31.9,34.7,16.8,20.4,82.5,7.6,35.3,42.9,21.4,15.6,6.2,4.6,20.9,-10.5,43.3,91.4,47.3,10.8,27.7,38.8,18.8,25.1,74.6,10.0,36.4,46.4,21.8,11.3,8.6,6.3,4.6,18.2,116.0
9,February,5,49.0,99.8,0,5,0.0,35.6,85.4,41.7,10.0,31.2,32.1,18.6,23.4,79.5,9.4,37.8,47.2,20.4,19.4,5.6,6.4,22.4,-6.0,38.4,94.2,40.8,7.0,23.4,29.9,22.0,28.8,76.4,14.0,37.4,51.4,20.8,12.4,10.0,6.6,6.4,19.6,105.8
