DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.8,8.8,43.9,100%,44.5,-0.6
3 Pointers,1.2,3.2,37.7,37.1%,36.3,1.3
2 Pointers,2.6,5.5,47.6,62.9%,48.8,-1.2
Less Than 6 Ft,1.3,2.2,61.2,24.9%,60.4,0.8
Less Than 10 Ft,1.8,3.3,55.1,37.3%,54.3,0.8
Greater Than 15 Ft,1.8,4.6,38.3,53.0%,38.1,0.2
