DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.5,5.8,43.9,100%,43.7,0.2
3 Pointers,0.8,2.3,34.1,39.8%,35.9,-1.8
2 Pointers,1.8,3.5,50.4,60.2%,48.4,2.0
Less Than 6 Ft,1.1,1.7,63.5,28.5%,61.7,1.8
Less Than 10 Ft,1.2,2.0,59.7,34.8%,55.6,4.1
Greater Than 15 Ft,1.1,3.3,34.1,57.0%,37.0,-2.9
