,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.2,108.5,32,21,0.604,39.4,84.0,46.9,10.3,27.3,37.9,19.4,25.9,74.8,9.5,34.0,43.5,22.5,13.1,7.6,4.7,20.4,3.3,38.7,86.0,45.1,9.0,25.7,34.9,18.7,24.1,77.5,10.4,32.8,43.2,22.7,13.2,7.3,3.4,4.7,22.3,105.2
1,Home,25,48.0,108.8,17,8,0.68,39.9,82.9,48.1,10.1,26.2,38.5,18.9,25.3,74.7,9.3,34.2,43.5,23.1,13.8,8.0,5.2,19.9,8.7,37.2,85.2,43.7,8.0,24.2,32.9,17.7,23.2,76.5,10.9,31.8,42.8,21.4,14.5,7.6,3.0,5.2,22.2,100.2
2,Road,28,48.4,108.2,15,13,0.536,38.9,85.0,45.8,10.6,28.3,37.4,19.8,26.4,74.9,9.6,33.8,43.4,21.9,12.4,7.1,4.1,20.8,-1.4,40.1,86.7,46.2,9.9,27.1,36.4,19.6,25.0,78.3,10.0,33.7,43.7,23.9,12.0,7.0,3.7,4.1,22.4,109.6
3,Wins,32,48.0,113.4,32,0,1.0,40.9,83.7,48.9,10.7,26.4,40.4,21.0,27.5,76.3,9.2,35.5,44.7,23.8,12.0,7.8,5.1,20.5,13.6,36.6,85.4,42.8,8.3,24.5,33.8,18.4,24.0,76.8,10.7,31.4,42.2,21.0,13.8,6.4,3.4,5.1,23.2,99.8
4,Losses,21,48.5,101.0,0,21,0.0,37.1,84.6,43.9,9.8,28.6,34.3,16.9,23.4,72.3,9.9,31.7,41.6,20.4,14.7,7.1,4.0,20.3,-12.2,42.0,86.8,48.4,10.0,27.7,36.3,19.1,24.3,78.5,10.0,34.9,44.9,25.4,12.3,8.6,3.3,4.0,21.0,113.2
5,October,3,48.0,106.0,3,0,1.0,37.0,84.7,43.7,6.7,24.0,27.8,25.3,34.7,73.1,11.3,35.7,47.0,16.7,12.3,8.7,4.0,20.7,13.0,34.3,80.7,42.6,5.3,17.3,30.8,19.0,25.3,75.0,8.7,36.3,45.0,18.3,17.7,7.7,2.0,4.0,29.7,93.0
6,November,16,48.6,109.1,11,5,0.688,38.6,82.7,46.6,10.4,26.8,38.8,21.6,28.3,76.3,8.2,34.6,42.8,22.6,12.8,9.6,5.0,19.9,9.0,36.8,85.1,43.3,9.3,24.8,37.3,17.2,21.7,79.3,10.1,33.1,43.1,20.8,15.2,6.8,3.2,5.0,23.6,100.1
7,December,17,48.0,107.4,8,9,0.471,40.0,85.5,46.8,11.0,28.9,38.1,16.4,21.3,76.8,10.1,33.0,43.1,22.6,13.7,6.6,4.3,21.4,-0.3,39.2,84.4,46.4,8.9,26.4,33.7,20.4,27.5,74.3,10.6,32.2,42.8,22.8,12.4,7.9,3.7,4.3,20.3,107.6
8,January,12,48.0,107.3,8,4,0.667,39.5,82.8,47.7,10.6,26.8,39.4,17.8,25.2,70.5,9.7,34.5,44.2,23.7,13.3,6.3,4.9,19.9,1.0,40.0,88.3,45.3,8.8,25.8,34.2,17.5,22.4,78.1,10.1,32.9,43.0,25.2,11.3,6.7,3.7,4.9,21.1,106.3
9,February,5,48.0,114.8,2,3,0.4,41.2,86.2,47.8,9.6,26.6,36.1,22.8,30.2,75.5,9.6,33.4,43.0,22.4,11.6,7.0,4.6,19.6,-2.6,43.0,91.8,46.8,11.0,31.4,35.0,20.4,24.0,85.0,12.8,31.8,44.6,25.6,11.6,7.8,2.8,4.6,23.8,117.4
10,Pre All-Star,53,48.2,108.5,32,21,0.604,39.4,84.0,46.9,10.3,27.3,37.9,19.4,25.9,74.8,9.5,34.0,43.5,22.5,13.1,7.6,4.7,20.4,3.3,38.7,86.0,45.1,9.0,25.7,34.9,18.7,24.1,77.5,10.4,32.8,43.2,22.7,13.2,7.3,3.4,4.7,22.3,105.2
11,0 Days Rest,11,48.0,107.6,5,6,0.455,38.8,80.5,48.2,10.7,26.5,40.4,19.3,25.3,76.3,8.3,32.8,41.1,21.4,14.1,6.5,4.5,19.8,1.5,38.6,84.5,45.7,9.0,26.2,34.4,19.9,24.5,81.4,11.1,31.7,42.8,23.9,12.9,8.7,3.4,4.5,22.2,106.2
12,1 Days Rest,32,48.3,109.1,21,11,0.656,39.3,84.5,46.5,10.7,27.6,38.6,19.9,26.5,75.1,9.4,34.8,44.2,23.0,13.0,7.8,4.9,20.4,4.6,38.4,86.4,44.5,9.1,25.6,35.4,18.5,24.0,77.0,10.5,33.2,43.6,21.9,13.2,7.1,3.4,4.9,22.4,104.4
