,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - MIA @ MIL",W,240,106,41,86,47.7,11,33,33.3,13,18,72.2,14,34,48,23,5,5,15,21,2017-02-08 00:00:00,MIL,AWAY
1,"FEB 06, 2017 - MIA @ MIN",W,240,115,45,86,52.3,15,28,53.6,10,14,71.4,13,25,38,27,5,5,17,21,2017-02-06 00:00:00,MIN,AWAY
2,"FEB 04, 2017 - MIA vs. PHI",W,240,125,48,82,58.5,12,22,54.5,17,23,73.9,10,39,49,28,6,5,21,24,2017-02-04 00:00:00,PHI,HOME
3,"FEB 01, 2017 - MIA vs. ATL",W,240,116,45,93,48.4,12,32,37.5,14,19,73.7,10,37,47,23,10,11,12,18,2017-02-01 00:00:00,ATL,HOME
4,"JAN 30, 2017 - MIA vs. BKN",W,240,104,39,82,47.6,11,26,42.3,15,23,65.2,5,29,34,22,9,8,11,18,2017-01-30 00:00:00,BKN,HOME
5,"JAN 28, 2017 - MIA vs. DET",W,240,116,42,79,53.2,14,28,50.0,18,23,78.3,9,29,38,18,5,6,13,19,2017-01-28 00:00:00,DET,HOME
6,"JAN 27, 2017 - MIA @ CHI",W,240,100,41,89,46.1,9,24,37.5,9,11,81.8,7,33,40,25,14,2,10,17,2017-01-27 00:00:00,CHI,AWAY
7,"JAN 25, 2017 - MIA @ BKN",W,240,109,40,83,48.2,11,23,47.8,18,25,72.0,6,34,40,23,7,6,10,25,2017-01-25 00:00:00,BKN,AWAY
8,"JAN 23, 2017 - MIA vs. GSW",W,240,105,38,86,44.2,13,30,43.3,16,27,59.3,11,34,45,20,9,4,13,19,2017-01-23 00:00:00,GSW,HOME
9,"JAN 21, 2017 - MIA vs. MIL",W,240,109,41,77,53.2,13,30,43.3,14,22,63.6,5,34,39,18,8,3,11,24,2017-01-21 00:00:00,MIL,HOME
10,"JAN 19, 2017 - MIA vs. DAL",W,240,99,35,73,47.9,9,20,45.0,20,29,69.0,6,34,40,16,4,1,13,15,2017-01-19 00:00:00,DAL,HOME
11,"JAN 17, 2017 - MIA vs. HOU",W,240,109,42,90,46.7,9,29,31.0,16,24,66.7,11,41,52,21,11,1,15,24,2017-01-17 00:00:00,HOU,HOME
12,"JAN 13, 2017 - MIA @ MIL",L,240,108,41,83,49.4,12,32,37.5,14,18,77.8,4,23,27,33,6,8,8,21,2017-01-13 00:00:00,MIL,AWAY
13,"JAN 10, 2017 - MIA @ GSW",L,240,95,38,90,42.2,6,30,20.0,13,17,76.5,6,40,46,25,6,4,11,22,2017-01-10 00:00:00,GSW,AWAY
