DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.0,9.8,41.0,100%,45.8,-4.7
3 Pointers,1.3,3.4,38.4,34.9%,35.7,2.7
2 Pointers,2.7,6.3,42.4,65.1%,50.5,-8.1
Less Than 6 Ft,1.3,2.2,57.8,22.9%,61.9,-4.1
Less Than 10 Ft,1.7,3.2,52.4,33.1%,56.4,-4.0
Greater Than 15 Ft,1.9,5.4,35.7,55.2%,37.4,-1.7
