,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,55,48.7,100.7,33,22,0.6,36.3,83.9,43.2,9.2,25.9,35.6,18.9,24.1,78.6,10.9,32.5,43.3,20.7,12.9,8.4,4.7,23.7,1.5,34.2,78.9,43.3,9.5,27.8,34.0,21.3,28.5,74.6,9.4,33.2,42.6,19.5,14.8,6.7,5.1,4.7,21.2,99.1
1,Home,27,48.6,97.6,18,9,0.667,35.0,84.1,41.7,8.4,24.7,34.1,19.1,24.5,77.8,12.2,34.0,46.2,20.5,13.7,8.3,5.8,23.4,3.5,32.6,79.2,41.1,8.9,28.0,31.7,20.1,27.8,72.3,9.4,33.3,42.7,17.6,14.9,7.2,5.6,5.8,21.6,94.1
2,Road,28,48.9,103.7,15,13,0.536,37.5,83.6,44.8,10.0,27.1,36.9,18.8,23.7,79.3,9.6,31.0,40.5,21.0,12.2,8.5,3.6,24.0,-0.3,35.8,78.6,45.5,10.1,27.7,36.3,22.5,29.3,76.8,9.4,33.1,42.6,21.3,14.6,6.3,4.6,3.6,20.8,104.0
3,Wins,33,49.1,103.8,33,0,1.0,37.6,83.6,45.0,10.3,25.6,40.4,18.2,23.3,78.1,10.5,34.2,44.7,21.6,13.1,8.4,4.8,23.7,9.9,32.3,79.2,40.8,8.5,27.8,30.8,20.7,28.1,73.7,9.6,32.2,41.8,17.3,15.2,6.7,5.2,4.8,20.8,93.9
4,Losses,22,48.2,96.0,0,22,0.0,34.2,84.3,40.6,7.5,26.4,28.6,20.0,25.2,79.3,11.4,29.9,41.3,19.4,12.7,8.5,4.5,23.6,-11.0,37.0,78.5,47.1,10.9,28.0,38.9,22.2,29.2,76.0,9.1,34.8,44.0,22.8,14.1,6.9,4.9,4.5,21.7,107.0
5,October,3,49.7,106.0,2,1,0.667,37.3,84.7,44.1,11.7,26.7,43.8,19.7,26.3,74.7,11.0,33.0,44.0,20.7,13.0,6.0,5.0,27.0,2.0,38.0,82.7,46.0,5.7,21.3,26.6,22.3,31.0,72.0,9.7,32.3,42.0,21.0,12.7,6.0,4.3,5.0,23.7,104.0
6,November,16,48.9,95.7,9,7,0.563,34.6,82.3,42.0,7.9,25.1,31.6,18.6,23.4,79.7,9.6,31.9,41.5,19.4,14.5,8.8,5.4,23.6,-1.8,33.6,76.7,43.8,10.0,27.7,36.1,20.2,26.9,74.9,7.8,33.6,41.3,19.4,15.6,7.7,5.9,5.4,21.9,97.4
7,December,17,48.9,99.9,11,6,0.647,36.4,85.8,42.4,9.1,25.6,35.6,18.1,23.5,77.2,11.9,33.6,45.5,21.1,11.9,8.9,4.8,23.7,3.2,33.1,79.8,41.4,9.8,29.4,33.5,20.8,28.0,74.2,9.9,33.9,43.9,18.4,15.2,5.8,5.4,4.8,19.9,96.7
8,January,14,48.4,104.5,7,7,0.5,37.7,84.2,44.8,10.4,27.7,37.4,18.7,23.8,78.7,10.9,32.4,43.3,21.6,12.3,8.2,3.1,23.0,0.1,35.9,78.3,45.8,9.7,29.0,33.5,22.9,30.4,75.4,8.8,32.9,41.6,21.0,13.0,6.6,4.3,3.1,21.0,104.4
9,February,5,48.0,105.4,4,1,0.8,36.8,81.0,45.4,9.0,24.0,37.5,22.8,28.0,81.4,11.6,30.0,41.6,21.6,13.0,7.4,6.2,23.8,10.0,32.8,82.6,39.7,8.2,23.8,34.5,21.6,28.8,75.0,14.6,31.2,45.8,18.4,16.6,7.6,3.8,6.2,22.4,95.4
10,Pre All-Star,55,48.7,100.7,33,22,0.6,36.3,83.9,43.2,9.2,25.9,35.6,18.9,24.1,78.6,10.9,32.5,43.3,20.7,12.9,8.4,4.7,23.7,1.5,34.2,78.9,43.3,9.5,27.8,34.0,21.3,28.5,74.6,9.4,33.2,42.6,19.5,14.8,6.7,5.1,4.7,21.2,99.1
11,0 Days Rest,13,48.8,99.9,10,3,0.769,35.0,83.2,42.1,9.0,25.8,34.9,20.9,26.6,78.6,10.7,32.2,42.9,20.5,11.4,8.8,4.5,23.3,2.9,33.5,76.8,43.5,9.7,28.6,33.9,20.4,27.4,74.4,8.2,33.5,41.8,19.5,15.2,5.8,5.4,4.5,22.5,97.0
12,1 Days Rest,33,48.9,101.5,21,12,0.636,37.1,84.7,43.8,9.5,26.1,36.5,17.7,22.6,78.3,11.4,32.9,44.3,21.4,14.0,8.7,4.8,24.2,3.3,33.3,79.1,42.1,9.3,28.0,33.4,22.2,29.4,75.7,9.8,32.8,42.6,18.6,15.2,7.3,5.3,4.8,20.6,98.2
13,2 Days Rest,6,48.0,98.3,0,6,0.0,34.7,83.3,41.6,8.0,25.3,31.6,21.0,26.5,79.2,10.0,30.2,40.2,18.5,11.0,7.5,3.2,22.3,-9.8,39.2,81.0,48.4,10.7,27.7,38.6,19.2,26.8,71.4,9.3,35.8,45.2,25.0,13.0,5.7,3.3,3.2,21.3,108.2
14,3 Days Rest,2,48.0,98.5,1,1,0.5,35.5,78.0,45.5,8.0,26.0,30.8,19.5,23.0,84.8,6.0,32.5,38.5,19.0,11.5,5.5,5.5,21.5,-4.0,37.5,80.0,46.9,8.5,26.0,32.7,19.0,27.5,69.1,9.0,31.0,40.0,18.0,11.5,7.5,4.5,5.5,21.0,102.5
15,6+ Days Rest,1,48.0,102.0,1,0,1.0,36.0,80.0,45.0,11.0,24.0,45.8,19.0,27.0,70.4,11.0,34.0,45.0,19.0,13.0,6.0,11.0,25.0,4.0,36.0,86.0,41.9,6.0,18.0,33.3,20.0,29.0,69.0,15.0,30.0,45.0,20.0,11.0,6.0,5.0,11.0,23.0,98.0
