DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.6,7.4,48.7,100%,48.6,0.1
3 Pointers,0.6,1.4,39.7,18.6%,37.6,2.1
2 Pointers,3.1,6.0,50.8,81.4%,52.1,-1.3
Less Than 6 Ft,1.9,3.0,63.1,40.1%,62.6,0.5
Less Than 10 Ft,2.5,4.5,54.9,60.5%,57.5,-2.6
Greater Than 15 Ft,1.0,2.4,41.3,32.1%,39.3,1.9
