,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,+/-,DATE,OPPONENT,ARENA
35,"NOV 21, 2016 - MIN vs. BOS",L,38,11,4,12,33.3,0,7,0.0,3,3,100.0,0,3,3,4,1,1,2,2,-5,2016-11-21 00:00:00,BOS,HOME
36,"NOV 19, 2016 - MIN @ MEM",L,37,22,9,16,56.3,4,8,50.0,0,0,0.0,0,1,1,3,2,0,2,2,-17,2016-11-19 00:00:00,MEM,AWAY
37,"NOV 17, 2016 - MIN vs. PHI",W,39,11,5,14,35.7,1,7,14.3,0,0,0.0,1,0,1,1,1,1,2,0,15,2016-11-17 00:00:00,PHI,HOME
38,"NOV 15, 2016 - MIN vs. CHA",L,33,19,7,16,43.8,5,10,50.0,0,0,0.0,0,2,2,2,0,0,0,2,-1,2016-11-15 00:00:00,CHA,HOME
39,"NOV 12, 2016 - MIN vs. LAC",L,40,15,7,15,46.7,1,5,20.0,0,0,0.0,0,3,3,4,2,1,0,5,-5,2016-11-12 00:00:00,LAC,HOME
40,"NOV 09, 2016 - MIN @ ORL",W,36,37,14,22,63.6,7,9,77.8,2,3,66.7,0,4,4,3,1,0,0,1,6,2016-11-09 00:00:00,ORL,AWAY
41,"NOV 08, 2016 - MIN @ BKN",L,40,17,5,16,31.3,1,5,20.0,6,6,100.0,0,2,2,1,0,0,1,0,-11,2016-11-08 00:00:00,BKN,AWAY
42,"NOV 05, 2016 - MIN @ OKC",L,26,4,1,6,16.7,1,3,33.3,1,1,100.0,1,1,2,2,1,0,2,0,-24,2016-11-05 00:00:00,OKC,AWAY
43,"NOV 03, 2016 - MIN vs. DEN",L,36,14,4,13,30.8,2,6,33.3,4,6,66.7,1,4,5,3,1,0,0,2,-2,2016-11-03 00:00:00,DEN,HOME
44,"NOV 01, 2016 - MIN vs. MEM",W,29,31,11,18,61.1,5,9,55.6,4,4,100.0,0,4,4,2,0,0,3,2,28,2016-11-01 00:00:00,MEM,HOME
45,"OCT 29, 2016 - MIN @ SAC",L,37,21,7,14,50.0,3,7,42.9,4,4,100.0,0,5,5,2,0,0,1,3,-3,2016-10-29 00:00:00,SAC,AWAY
46,"OCT 26, 2016 - MIN @ MEM",L,34,19,6,14,42.9,3,6,50.0,4,5,80.0,0,5,5,3,1,0,2,3,-4,2016-10-26 00:00:00,MEM,AWAY
