DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.8,5.1,54.7,100%,45.8,8.9
3 Pointers,0.8,2.2,36.0,42.7%,37.0,-1.0
2 Pointers,2.0,2.9,68.7,57.3%,51.0,17.7
Less Than 6 Ft,1.0,1.1,92.3,22.2%,61.6,30.7
Less Than 10 Ft,1.2,1.4,84.8,28.2%,56.7,28.1
Greater Than 15 Ft,1.4,3.3,40.8,65.0%,37.9,2.9
