,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.4,100.7,19,34,0.358,36.8,84.3,43.7,10.3,29.3,35.1,16.7,21.9,76.1,9.5,33.0,42.5,23.4,16.7,8.2,5.4,21.6,-6.0,39.2,85.5,45.8,9.2,25.1,36.7,19.1,25.2,76.1,10.9,34.5,45.4,22.4,15.0,8.3,5.1,5.4,20.2,106.7
1,Home,28,48.5,101.1,12,16,0.429,37.0,84.0,44.0,10.4,29.3,35.6,16.7,21.9,76.3,9.2,34.3,43.4,24.0,16.8,7.5,6.0,22.0,-3.5,37.8,85.2,44.3,9.0,25.9,34.6,20.1,26.1,77.0,10.4,34.1,44.5,21.5,14.6,8.4,4.7,6.0,21.1,104.6
2,Road,25,48.2,100.2,7,18,0.28,36.7,84.8,43.3,10.2,29.4,34.6,16.6,22.0,75.8,9.8,31.7,41.4,22.7,16.6,8.8,4.8,21.1,-8.8,40.8,85.9,47.5,9.5,24.2,39.1,18.0,24.0,74.9,11.4,35.0,46.4,23.4,15.6,8.2,5.5,4.8,19.2,109.1
3,Wins,19,48.3,107.1,19,0,1.0,38.3,83.8,45.7,11.1,29.9,37.0,19.4,24.4,79.5,9.9,34.4,44.3,25.9,16.6,8.5,5.6,21.4,6.4,36.6,84.5,43.3,8.1,24.4,33.0,19.4,25.6,75.8,10.5,31.6,42.2,20.7,15.7,8.2,4.2,5.6,22.3,100.6
4,Losses,34,48.4,97.1,0,34,0.0,36.0,84.6,42.6,9.9,29.0,34.0,15.2,20.6,73.8,9.2,32.3,41.5,22.0,16.8,7.9,5.3,21.7,-13.0,40.6,86.1,47.2,9.9,25.5,38.6,19.0,24.9,76.2,11.1,36.1,47.2,23.4,14.6,8.4,5.6,5.3,19.0,110.1
5,October,2,48.0,84.5,0,2,0.0,32.0,82.0,39.0,6.0,21.0,28.6,14.5,20.0,72.5,4.5,36.5,41.0,18.5,17.0,7.0,7.5,21.0,-19.0,40.5,89.5,45.3,5.5,21.0,26.2,17.0,24.5,69.4,9.5,40.5,50.0,25.0,11.0,9.0,5.0,7.5,18.5,103.5
6,November,16,49.3,99.6,4,12,0.25,37.3,84.9,44.0,11.3,30.2,37.3,13.8,18.8,73.1,9.0,34.6,43.6,23.2,17.8,8.3,5.5,22.1,-8.9,40.8,89.1,45.8,9.8,27.2,35.9,17.1,23.2,73.9,11.5,34.4,45.9,22.3,13.7,9.1,6.1,5.5,19.1,108.5
7,December,14,48.0,100.4,4,10,0.286,36.8,84.1,43.7,10.7,30.6,35.0,16.1,21.1,76.4,10.9,31.4,42.4,22.3,15.9,7.0,5.4,22.2,-4.3,36.9,81.8,45.1,9.4,25.3,37.0,21.6,28.7,75.4,10.4,33.9,44.3,21.9,14.7,8.1,3.9,5.4,19.9,104.7
8,January,15,48.0,104.9,10,5,0.667,37.8,83.9,45.1,10.3,29.5,34.8,19.0,24.1,78.9,9.4,33.3,42.7,26.1,17.3,8.9,6.1,21.1,0.1,38.3,84.7,45.3,9.1,24.4,37.2,19.1,24.5,77.9,10.5,32.2,42.7,21.7,16.7,8.1,4.8,6.1,21.7,104.8
9,February,6,48.0,99.0,1,5,0.167,35.0,85.3,41.0,8.3,26.7,31.3,20.7,27.3,75.6,9.0,30.8,39.8,21.5,14.3,9.0,2.5,20.0,-13.5,42.0,85.7,49.0,9.0,22.3,40.3,19.5,24.0,81.3,11.8,40.3,52.2,24.8,16.7,7.3,5.8,2.5,20.7,112.5
