DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.8,10.2,46.6,100%,46.0,0.6
3 Pointers,0.9,2.8,32.0,27.2%,35.3,-3.3
2 Pointers,3.9,7.4,52.1,72.8%,50.3,1.8
Less Than 6 Ft,2.1,3.4,60.0,33.8%,61.3,-1.3
Less Than 10 Ft,2.5,4.7,52.4,46.2%,55.6,-3.2
Greater Than 15 Ft,1.8,4.4,41.0,43.6%,37.8,3.2
