DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.0,6.5,46.5,100%,45.1,1.4
3 Pointers,0.6,2.1,30.2,32.2%,36.0,-5.8
2 Pointers,2.4,4.4,54.3,67.8%,49.8,4.5
Less Than 6 Ft,1.4,2.1,64.5,32.5%,60.7,3.8
Less Than 10 Ft,1.7,2.8,59.0,43.8%,55.2,3.9
Greater Than 15 Ft,1.1,3.2,35.6,49.5%,37.2,-1.6
