DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.9,8.1,48.2,100%,46.8,1.4
3 Pointers,0.5,1.7,28.6,21.1%,35.2,-6.7
2 Pointers,3.4,6.4,53.5,78.9%,50.8,2.7
Less Than 6 Ft,2.3,3.7,61.5,45.7%,59.9,1.7
Less Than 10 Ft,2.9,5.0,57.7,61.8%,54.8,2.9
Greater Than 15 Ft,0.8,2.6,30.8,32.7%,38.0,-7.2
