,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.5,106.3,16,37,0.302,38.9,87.4,44.5,8.0,23.3,34.1,20.6,26.2,78.7,12.0,32.5,44.4,18.3,15.6,8.4,4.3,25.0,-6.3,40.2,84.9,47.3,9.9,25.3,39.0,22.3,28.3,78.7,9.8,33.4,43.2,22.3,15.4,7.9,5.7,4.3,22.0,112.6
1,Home,25,48.6,106.4,8,17,0.32,38.5,87.1,44.2,8.4,24.1,34.7,21.0,26.7,78.9,12.4,33.4,45.8,18.2,15.7,8.2,4.7,24.7,-5.8,39.9,85.2,46.8,9.9,26.1,38.0,22.5,28.0,80.5,9.8,33.3,43.0,21.4,15.2,8.5,5.2,4.7,22.6,112.2
2,Road,28,48.4,106.3,8,20,0.286,39.2,87.7,44.7,7.6,22.6,33.6,20.2,25.7,78.6,11.6,31.6,43.2,18.4,15.5,8.6,4.0,25.3,-6.6,40.5,84.8,47.8,9.9,24.6,40.0,22.0,28.6,77.1,9.8,33.5,43.3,23.2,15.6,7.5,6.2,4.0,21.5,112.9
3,Wins,16,48.9,109.0,16,0,1.0,39.1,86.1,45.4,9.1,23.4,39.0,21.8,26.6,81.9,12.1,35.9,48.0,18.0,15.4,8.3,4.7,23.6,5.9,37.5,86.3,43.5,8.5,24.6,34.6,19.6,25.4,77.3,9.2,31.4,40.6,19.7,14.5,7.8,5.8,4.7,22.3,103.1
4,Losses,37,48.3,105.1,0,37,0.0,38.8,88.0,44.1,7.5,23.3,32.0,20.1,26.0,77.3,11.9,31.0,42.9,18.4,15.7,8.5,4.2,25.6,-11.5,41.4,84.4,49.0,10.5,25.7,40.8,23.4,29.5,79.2,10.1,34.2,44.3,23.5,15.8,8.0,5.7,4.2,21.9,116.6
5,October,4,49.3,100.5,0,4,0.0,37.5,86.3,43.5,5.5,20.5,26.8,20.0,28.8,69.6,9.5,35.3,44.8,18.3,16.5,9.5,3.0,29.3,-11.5,39.8,86.3,46.1,6.3,21.8,28.7,26.3,33.8,77.8,9.0,37.3,46.3,21.3,17.0,7.5,4.3,3.0,22.5,112.0
6,November,15,48.7,107.7,6,9,0.4,39.7,89.5,44.3,8.0,23.2,34.5,20.4,26.4,77.3,11.8,34.7,46.5,18.3,16.0,8.7,4.8,24.0,-4.1,40.1,88.4,45.4,10.6,26.5,40.1,21.0,26.8,78.4,9.6,34.9,44.5,22.9,15.5,8.2,6.7,4.8,22.3,111.9
7,December,15,48.7,106.1,4,11,0.267,39.3,87.9,44.7,9.3,25.9,36.0,18.3,23.9,76.5,11.9,31.6,43.5,18.2,16.3,8.7,4.4,25.6,-8.1,40.3,83.1,48.4,10.0,25.6,39.1,23.7,30.1,78.9,9.8,33.1,42.9,22.8,16.5,8.5,4.8,4.4,22.3,114.3
8,January,14,48.0,106.9,5,9,0.357,39.1,84.6,46.3,7.1,20.8,34.4,21.4,25.6,83.6,12.7,30.8,43.5,18.4,14.5,7.6,4.0,24.1,-3.2,39.6,83.4,47.5,10.4,25.9,40.1,20.4,25.7,79.4,10.6,30.1,40.8,21.2,13.9,7.2,5.2,4.0,20.1,110.1
9,February,5,48.0,105.6,1,4,0.2,35.6,88.8,40.1,8.0,25.4,31.5,26.4,31.8,83.0,12.8,30.8,43.6,18.6,14.6,8.0,4.6,25.2,-11.4,42.2,83.2,50.7,9.0,22.6,39.8,23.6,30.2,78.1,8.6,35.8,44.4,23.2,14.8,8.0,8.4,4.6,25.6,117.0
