DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.0,3.5,57.1,100%,48.4,8.7
3 Pointers,0.5,1.0,50.0,28.6%,38.6,11.4
2 Pointers,1.5,2.5,60.0,71.4%,51.5,8.5
Less Than 6 Ft,0.8,1.2,71.4,33.3%,58.4,13.0
Less Than 10 Ft,1.2,1.7,70.0,47.6%,57.2,12.8
Greater Than 15 Ft,0.8,1.7,50.0,47.6%,38.0,12.0
