DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,5.5,11.5,47.8,100%,46.5,1.2
3 Pointers,1.4,3.5,39.6,30.4%,35.0,4.6
2 Pointers,4.1,8.0,51.3,69.6%,51.0,0.4
Less Than 6 Ft,2.3,4.1,56.8,35.6%,61.1,-4.3
Less Than 10 Ft,3.0,5.4,56.3,47.0%,56.5,-0.2
Greater Than 15 Ft,2.1,5.3,39.8,46.1%,37.0,2.8
