,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 08, 2017 - PHX @ MEM",L,240,91,29,87,33.3,5,23,21.7,28,34,82.4,18,28,46,13,12,5,15,27,2017-02-08 00:00:00,MEM,AWAY
1,"FEB 06, 2017 - PHX @ NOP",L,240,106,40,93,43.0,5,27,18.5,21,25,84.0,9,40,49,26,7,9,16,23,2017-02-06 00:00:00,NOP,AWAY
2,"FEB 04, 2017 - PHX vs. MIL",L,240,112,38,91,41.8,11,28,39.3,25,30,83.3,14,26,40,22,9,3,16,28,2017-02-04 00:00:00,MIL,HOME
3,"FEB 03, 2017 - PHX @ SAC",W,240,105,32,77,41.6,12,29,41.4,29,35,82.9,6,33,39,11,7,3,11,21,2017-02-03 00:00:00,SAC,AWAY
4,"FEB 01, 2017 - PHX vs. LAC",L,240,114,39,96,40.6,7,20,35.0,29,35,82.9,17,27,44,21,5,3,12,27,2017-02-01 00:00:00,LAC,HOME
5,"JAN 30, 2017 - PHX vs. MEM",L,240,96,31,74,41.9,5,19,26.3,29,39,74.4,13,29,42,11,8,8,17,19,2017-01-30 00:00:00,MEM,HOME
6,"JAN 28, 2017 - PHX vs. DEN",L,240,112,41,91,45.1,6,21,28.6,24,32,75.0,11,32,43,20,9,3,10,36,2017-01-28 00:00:00,DEN,HOME
7,"JAN 26, 2017 - PHX @ DEN",L,240,120,48,89,53.9,10,24,41.7,14,17,82.4,8,20,28,21,8,2,11,26,2017-01-26 00:00:00,DEN,AWAY
8,"JAN 24, 2017 - PHX vs. MIN",L,240,111,38,86,44.2,7,19,36.8,28,32,87.5,13,31,44,20,7,4,15,23,2017-01-24 00:00:00,MIN,HOME
9,"JAN 22, 2017 - PHX @ TOR",W,240,115,40,79,50.6,9,22,40.9,26,28,92.9,7,38,45,20,6,1,15,28,2017-01-22 00:00:00,TOR,AWAY
10,"JAN 21, 2017 - PHX @ NYK",W,240,107,37,85,43.5,9,24,37.5,24,27,88.9,14,30,44,15,9,4,13,18,2017-01-21 00:00:00,NYK,AWAY
11,"JAN 19, 2017 - PHX @ CLE",L,240,103,37,85,43.5,4,19,21.1,25,31,80.6,15,31,46,23,10,4,14,22,2017-01-19 00:00:00,CLE,AWAY
12,"JAN 16, 2017 - PHX vs. UTA",L,240,101,40,81,49.4,5,22,22.7,16,17,94.1,6,33,39,13,4,5,9,21,2017-01-16 00:00:00,UTA,HOME
13,"JAN 14, 2017 - PHX vs. SAS",W,240,108,39,85,45.9,8,21,38.1,22,24,91.7,15,30,45,18,10,0,15,30,2017-01-14 00:00:00,SAS,HOME
14,"JAN 12, 2017 - PHX vs. DAL",L,240,108,38,78,48.7,10,18,55.6,22,27,81.5,13,34,47,15,2,4,19,23,2017-01-12 00:00:00,DAL,HOME
15,"JAN 08, 2017 - PHX vs. CLE",L,240,116,46,87,52.9,9,27,33.3,15,19,78.9,13,23,36,23,12,7,14,19,2017-01-08 00:00:00,CLE,HOME
16,"JAN 05, 2017 - PHX @ DAL",W,240,102,38,85,44.7,7,17,41.2,19,22,86.4,18,35,53,15,4,3,15,21,2017-01-05 00:00:00,DAL,AWAY
17,"JAN 03, 2017 - PHX vs. MIA",W,240,99,36,77,46.8,9,23,39.1,18,22,81.8,13,36,49,21,7,7,18,23,2017-01-03 00:00:00,MIA,HOME
18,"JAN 02, 2017 - PHX @ LAC",L,240,98,39,102,38.2,2,15,13.3,18,22,81.8,19,29,48,22,11,4,12,29,2017-01-02 00:00:00,LAC,AWAY
19,"DEC 31, 2016 - PHX @ UTA",L,240,86,36,87,41.4,7,17,41.2,7,10,70.0,9,32,41,9,6,2,9,21,2016-12-31 00:00:00,UTA,AWAY
20,"DEC 29, 2016 - PHX vs. TOR",W,240,99,37,83,44.6,9,21,42.9,16,23,69.6,12,35,47,20,10,4,20,28,2016-12-29 00:00:00,TOR,HOME
21,"DEC 28, 2016 - PHX @ SAS",L,240,98,36,74,48.6,7,16,43.8,19,24,79.2,7,26,33,20,11,4,21,25,2016-12-28 00:00:00,SAS,AWAY
22,"DEC 26, 2016 - PHX @ HOU",L,240,115,43,101,42.6,7,30,23.3,22,27,81.5,16,37,53,17,14,6,17,25,2016-12-26 00:00:00,HOU,AWAY
23,"DEC 23, 2016 - PHX vs. PHI",W,240,123,42,79,53.2,12,26,46.2,27,37,73.0,11,32,43,25,7,6,20,24,2016-12-23 00:00:00,PHI,HOME
24,"DEC 21, 2016 - PHX vs. HOU",L,240,111,44,93,47.3,9,25,36.0,14,20,70.0,14,30,44,20,7,6,8,23,2016-12-21 00:00:00,HOU,HOME
25,"DEC 19, 2016 - PHX @ MIN",L,240,108,37,82,45.1,9,21,42.9,25,35,71.4,8,26,34,16,11,5,17,23,2016-12-19 00:00:00,MIN,AWAY
26,"DEC 17, 2016 - PHX @ OKC",L,240,101,39,90,43.3,8,22,36.4,15,20,75.0,16,27,43,16,5,5,16,23,2016-12-17 00:00:00,OKC,AWAY
27,"DEC 15, 2016 - PHX vs. SAS",L,240,92,34,85,40.0,10,27,37.0,14,18,77.8,11,24,35,15,9,3,13,25,2016-12-15 00:00:00,SAS,HOME
28,"DEC 13, 2016 - PHX vs. NYK",W,265,113,38,93,40.9,9,30,30.0,28,33,84.8,16,45,61,13,9,7,17,28,2016-12-13 00:00:00,NYK,HOME
29,"DEC 11, 2016 - PHX vs. NOP",L,265,119,44,96,45.8,14,41,34.1,17,26,65.4,14,43,57,21,6,3,16,27,2016-12-11 00:00:00,NOP,HOME
30,"DEC 09, 2016 - PHX @ LAL",W,240,119,45,95,47.4,13,30,43.3,16,21,76.2,9,35,44,26,8,9,7,24,2016-12-09 00:00:00,LAL,AWAY
31,"DEC 07, 2016 - PHX vs. IND",L,240,94,34,85,40.0,9,33,27.3,17,18,94.4,9,31,40,17,14,4,19,31,2016-12-07 00:00:00,IND,HOME
32,"DEC 06, 2016 - PHX @ UTA",L,240,105,39,84,46.4,6,18,33.3,21,25,84.0,12,29,41,14,5,0,17,28,2016-12-06 00:00:00,UTA,AWAY
33,"DEC 03, 2016 - PHX @ GSW",L,240,109,41,91,45.1,11,32,34.4,16,21,76.2,14,22,36,24,8,2,14,29,2016-12-03 00:00:00,GSW,AWAY
34,"NOV 30, 2016 - PHX vs. ATL",W,240,109,40,89,44.9,10,21,47.6,19,25,76.0,13,28,41,15,11,4,15,17,2016-11-30 00:00:00,ATL,HOME
35,"NOV 27, 2016 - PHX vs. DEN",L,240,114,36,89,40.4,11,25,44.0,31,36,86.1,9,37,46,11,5,7,11,24,2016-11-27 00:00:00,DEN,HOME
