DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.4,9.3,47.6,100%,45.1,2.5
3 Pointers,1.0,2.9,35.8,30.6%,35.3,0.5
2 Pointers,3.4,6.4,52.8,69.4%,49.9,2.9
Less Than 6 Ft,2.1,3.3,64.5,35.6%,59.8,4.7
Less Than 10 Ft,2.5,4.4,57.1,47.8%,54.9,2.2
Greater Than 15 Ft,1.7,4.2,40.5,45.5%,37.3,3.2
