DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,1.3,2.6,48.6,100%,44.7,4.0
3 Pointers,0.4,1.1,33.3,40.5%,35.2,-1.8
2 Pointers,0.9,1.6,59.1,59.5%,48.8,10.3
Less Than 6 Ft,0.9,1.2,70.6,45.9%,59.7,10.9
Less Than 10 Ft,0.9,1.3,66.7,48.6%,53.2,13.5
Greater Than 15 Ft,0.4,1.4,31.6,51.4%,37.6,-6.0
