,MATCHUP,W/L,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,DATE,OPPONENT,ARENA
0,"FEB 09, 2017 - CLE @ OKC",L,240,109,38,79,48.1,10,21,47.6,23,30,76.7,5,30,35,14,9,6,16,14,2017-02-09 00:00:00,OKC,AWAY
1,"FEB 08, 2017 - CLE @ IND",W,240,132,46,84,54.8,16,36,44.4,24,26,92.3,5,34,39,24,7,5,9,16,2017-02-08 00:00:00,IND,AWAY
2,"FEB 06, 2017 - CLE @ WAS",W,265,140,49,92,53.3,19,38,50.0,23,28,82.1,12,34,46,31,7,2,20,26,2017-02-06 00:00:00,WAS,AWAY
3,"FEB 04, 2017 - CLE @ NYK",W,240,111,41,84,48.8,16,40,40.0,13,18,72.2,12,37,49,20,3,0,15,19,2017-02-04 00:00:00,NYK,AWAY
4,"FEB 01, 2017 - CLE vs. MIN",W,240,125,48,89,53.9,15,37,40.5,14,22,63.6,12,36,48,37,10,10,10,13,2017-02-01 00:00:00,MIN,HOME
5,"JAN 30, 2017 - CLE @ DAL",L,240,97,35,75,46.7,12,32,37.5,15,21,71.4,6,36,42,17,6,3,17,17,2017-01-30 00:00:00,DAL,AWAY
6,"JAN 29, 2017 - CLE vs. OKC",W,240,107,41,92,44.6,8,29,27.6,17,22,77.3,8,43,51,22,9,6,10,16,2017-01-29 00:00:00,OKC,HOME
7,"JAN 27, 2017 - CLE vs. BKN",W,240,124,49,92,53.3,13,36,36.1,13,20,65.0,9,38,47,26,4,5,14,14,2017-01-27 00:00:00,BKN,HOME
8,"JAN 25, 2017 - CLE vs. SAC",L,265,112,40,82,48.8,15,38,39.5,17,34,50.0,13,34,47,29,9,6,18,21,2017-01-25 00:00:00,SAC,HOME
9,"JAN 23, 2017 - CLE @ NOP",L,240,122,43,93,46.2,15,37,40.5,21,25,84.0,11,34,45,24,6,3,11,20,2017-01-23 00:00:00,NOP,AWAY
10,"JAN 21, 2017 - CLE vs. SAS",L,265,115,45,91,49.5,13,34,38.2,12,22,54.5,11,36,47,25,7,1,18,16,2017-01-21 00:00:00,SAS,HOME
11,"JAN 19, 2017 - CLE vs. PHX",W,240,118,43,85,50.6,19,42,45.2,13,19,68.4,4,32,36,29,7,6,12,24,2017-01-19 00:00:00,PHX,HOME
