DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,3.3,6.9,48.0,100%,43.8,4.2
3 Pointers,1.2,3.3,37.7,47.3%,36.4,1.4
2 Pointers,2.1,3.6,57.1,52.7%,49.3,7.9
Less Than 6 Ft,1.1,1.3,84.7,18.5%,61.9,22.8
Less Than 10 Ft,1.3,1.8,72.0,25.7%,55.4,16.5
Greater Than 15 Ft,1.7,4.5,38.2,64.9%,37.5,0.7
