,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,55,48.3,99.9,20,35,0.364,38.1,86.3,44.2,8.7,26.1,33.3,15.1,20.8,72.4,9.7,33.1,42.8,22.4,13.3,6.8,5.1,18.9,-6.0,39.6,85.6,46.3,9.5,26.0,36.5,17.2,22.5,76.5,9.8,35.3,45.1,22.9,13.2,7.5,5.1,5.1,18.7,105.9
1,Home,26,48.0,97.7,9,17,0.346,37.0,85.7,43.1,8.4,25.2,33.4,15.3,21.6,71.1,10.8,32.8,43.6,21.0,12.9,6.8,5.5,18.7,-5.0,38.0,83.2,45.7,9.4,25.2,37.4,17.2,22.2,77.2,9.4,35.0,44.4,21.2,13.5,7.5,4.7,5.5,19.1,102.7
2,Road,29,48.5,101.9,11,18,0.379,39.1,86.8,45.1,8.9,26.9,33.2,14.8,20.1,73.6,8.7,33.4,42.1,23.6,13.7,6.8,4.8,19.1,-7.0,41.1,87.9,46.7,9.6,26.7,35.7,17.2,22.7,76.0,10.2,35.5,45.7,24.5,12.9,7.4,5.4,4.8,18.4,108.9
3,Wins,20,48.5,109.1,20,0,1.0,41.1,85.9,47.9,9.9,24.9,39.6,17.1,23.4,72.9,9.3,34.0,43.3,24.3,11.8,6.8,6.4,18.9,8.4,37.2,86.0,43.2,9.3,25.0,37.2,17.1,22.6,75.7,10.4,32.9,43.2,19.3,13.7,6.1,5.0,6.4,20.2,100.7
4,Losses,35,48.1,94.7,0,35,0.0,36.4,86.5,42.1,8.0,26.8,30.0,13.9,19.3,72.0,9.9,32.6,42.5,21.3,14.3,6.8,4.5,18.9,-14.3,41.1,85.4,48.1,9.6,26.6,36.1,17.2,22.4,77.0,9.5,36.7,46.2,25.0,12.9,8.3,5.1,4.5,17.9,108.9
5,October,3,48.0,92.3,0,3,0.0,35.0,89.3,39.2,7.3,24.0,30.6,15.0,22.0,68.2,14.0,32.3,46.3,20.3,13.7,6.3,4.0,17.0,-14.7,43.7,93.3,46.8,7.3,24.0,30.6,12.3,17.3,71.2,12.7,35.7,48.3,23.7,11.0,7.0,5.7,4.0,20.0,107.0
6,November,15,48.0,92.3,7,8,0.467,35.1,84.3,41.6,7.9,24.7,31.9,14.3,19.5,73.3,10.3,34.3,44.7,20.7,13.5,6.3,5.9,17.9,-3.9,36.5,83.6,43.6,7.7,23.2,33.3,15.5,20.3,76.6,9.5,35.3,44.8,20.9,13.1,7.6,5.9,5.9,18.3,96.2
7,December,16,48.6,106.1,8,8,0.5,40.6,86.6,46.9,9.8,27.4,35.8,15.1,21.7,69.5,8.0,32.5,40.5,23.3,11.8,6.6,5.8,19.0,-2.6,40.6,86.8,46.7,9.5,24.8,38.4,18.1,23.2,77.9,10.3,35.3,45.6,22.0,12.4,6.3,5.2,5.8,19.4,108.7
8,January,16,48.3,102.9,4,12,0.25,39.8,88.6,44.9,9.2,27.7,33.2,14.2,19.2,73.9,10.3,32.8,43.1,23.5,14.0,7.4,4.0,19.8,-8.3,41.3,85.6,48.3,11.0,29.5,37.3,17.6,23.2,75.7,9.0,35.8,44.8,25.0,13.8,8.4,4.7,4.0,17.9,111.2
9,February,5,48.0,98.2,1,4,0.2,35.6,81.4,43.7,6.8,22.2,30.6,20.2,26.4,76.5,8.4,33.2,41.6,22.2,15.6,7.0,5.2,20.0,-10.8,38.4,83.6,45.9,11.2,28.4,39.4,21.0,27.4,76.6,10.2,33.2,43.4,24.8,14.8,8.0,3.0,5.2,19.6,109.0
10,Pre All-Star,55,48.3,99.9,20,35,0.364,38.1,86.3,44.2,8.7,26.1,33.3,15.1,20.8,72.4,9.7,33.1,42.8,22.4,13.3,6.8,5.1,18.9,-6.0,39.6,85.6,46.3,9.5,26.0,36.5,17.2,22.5,76.5,9.8,35.3,45.1,22.9,13.2,7.5,5.1,5.1,18.7,105.9
11,0 Days Rest,11,48.5,100.3,3,8,0.273,37.5,85.5,43.9,10.6,29.0,36.7,14.5,21.4,68.1,9.0,33.1,42.1,23.2,13.0,7.4,4.0,22.3,-5.5,38.7,85.1,45.5,9.2,26.5,34.7,19.1,25.3,75.5,10.8,35.1,45.9,23.4,12.8,6.1,5.5,4.0,19.0,105.7
12,1 Days Rest,35,48.3,98.7,13,22,0.371,37.6,85.9,43.8,8.1,25.1,32.2,15.4,21.1,73.1,10.0,33.5,43.5,21.4,13.7,6.7,5.6,17.9,-6.1,39.6,86.1,46.0,9.3,25.8,35.9,16.4,21.4,76.7,9.8,35.4,45.2,21.9,13.3,8.0,5.0,5.6,18.9,104.8
13,2 Days Rest,7,48.0,105.6,4,3,0.571,41.4,87.3,47.5,9.0,26.1,34.4,13.7,18.7,73.3,8.3,31.7,40.0,26.1,12.7,6.9,4.4,19.0,-4.6,39.9,82.4,48.4,12.0,28.4,42.2,18.4,24.1,76.3,7.7,34.3,42.0,25.7,13.3,7.7,4.7,4.4,17.6,110.1
