DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.1,4.4,49.2,100%,43.0,6.1
3 Pointers,0.6,1.6,40.5,35.6%,35.0,5.4
2 Pointers,1.5,2.8,53.9,64.4%,47.6,6.4
Less Than 6 Ft,0.9,1.4,63.2,32.2%,57.7,5.5
Less Than 10 Ft,1.2,1.8,66.7,40.7%,53.0,13.7
Greater Than 15 Ft,0.9,2.3,38.7,52.5%,36.3,2.4
