DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.4,5.2,45.6,100%,43.5,2.1
3 Pointers,0.7,2.1,34.3,40.0%,35.7,-1.4
2 Pointers,1.6,3.1,53.1,60.0%,47.9,5.2
Less Than 6 Ft,0.7,0.8,83.3,15.6%,61.0,22.3
Less Than 10 Ft,0.8,1.3,63.8,25.6%,54.3,9.5
Greater Than 15 Ft,1.2,3.1,37.8,60.7%,37.4,0.4
