,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,53,48.3,108.2,34,19,0.642,39.0,86.0,45.3,12.1,33.2,36.5,18.2,22.2,82.0,9.4,32.1,41.5,25.2,12.6,7.5,4.3,20.3,2.4,38.7,85.3,45.4,9.3,26.8,34.7,19.1,24.9,76.7,10.9,34.0,44.9,22.9,14.1,7.3,5.1,4.3,19.7,105.8
1,Home,27,48.2,109.7,19,8,0.704,39.1,86.0,45.4,13.1,33.7,38.8,18.4,22.3,82.7,9.9,32.9,42.8,27.1,13.4,7.4,4.7,19.5,3.9,39.3,87.4,45.0,9.3,27.1,34.4,17.9,23.3,76.5,11.1,33.6,44.7,23.9,13.4,7.4,5.6,4.7,19.8,105.8
2,Road,26,48.4,106.7,15,11,0.577,38.9,86.0,45.2,11.1,32.6,34.0,17.9,22.0,81.2,8.8,31.3,40.1,23.3,11.8,7.7,3.9,21.2,0.9,38.1,83.2,45.8,9.2,26.4,34.9,20.3,26.5,76.9,10.6,34.5,45.1,21.8,14.8,7.1,4.6,3.9,19.7,105.8
3,Wins,34,48.3,110.1,34,0,1.0,39.3,85.2,46.2,12.7,33.4,38.1,18.7,22.9,81.7,9.8,33.8,43.6,25.6,12.9,7.6,4.7,19.9,8.7,37.1,85.6,43.4,9.0,27.7,32.4,18.1,24.1,75.2,10.8,33.0,43.7,22.3,14.0,7.1,5.0,4.7,20.1,101.4
4,Losses,19,48.3,104.9,0,19,0.0,38.4,87.5,43.9,10.9,32.7,33.4,17.2,20.9,82.4,8.6,29.1,37.7,24.6,12.2,7.5,3.6,21.1,-8.7,41.5,84.8,49.0,9.8,25.2,39.1,20.7,26.2,79.3,11.1,35.8,46.9,23.8,14.3,7.5,5.2,3.6,19.1,113.6
5,October,3,48.0,108.3,2,1,0.667,41.7,82.0,50.8,11.3,28.7,39.5,13.7,19.7,69.5,6.3,35.3,41.7,27.7,14.7,7.7,7.0,23.7,1.7,37.0,89.3,41.4,11.7,33.7,34.7,21.0,27.7,75.9,13.0,32.7,45.7,23.0,12.3,7.0,3.3,7.0,19.0,106.7
6,November,15,48.0,104.3,8,7,0.533,38.2,87.1,43.8,11.3,31.7,35.5,16.7,20.9,79.6,10.2,32.0,42.2,23.9,11.8,7.0,4.1,20.7,0.4,38.6,85.3,45.3,8.3,24.6,33.6,18.5,24.2,76.3,11.5,35.2,46.7,22.3,14.3,7.0,6.2,4.1,19.4,103.9
7,December,16,48.3,107.4,10,6,0.625,38.8,85.9,45.2,11.2,32.1,34.9,18.6,22.6,82.3,9.1,31.3,40.4,25.4,12.5,8.6,4.1,20.1,3.3,37.6,83.5,45.1,9.6,27.4,34.9,19.3,25.5,75.7,10.9,34.1,45.0,22.2,15.0,7.9,4.8,4.1,19.8,104.1
8,January,14,48.7,113.3,10,4,0.714,40.1,86.4,46.5,14.1,35.6,39.8,18.9,22.0,85.7,9.2,32.3,41.5,26.6,13.1,6.9,5.1,19.4,4.0,40.4,87.4,46.3,9.2,25.9,35.6,19.2,24.2,79.4,10.4,32.5,42.9,24.5,13.2,7.1,5.4,5.1,19.6,109.3
9,February,5,48.0,108.2,4,1,0.8,37.0,84.2,43.9,12.2,37.0,33.0,22.0,26.4,83.3,9.8,32.8,42.6,23.4,12.6,7.8,1.8,20.2,1.8,38.8,83.4,46.5,10.2,29.8,34.2,18.6,25.0,74.4,9.0,35.0,44.0,22.0,14.2,6.8,3.0,1.8,21.2,106.4
