DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,7.5,15.9,47.1,100%,46.0,1.1
3 Pointers,1.8,4.9,35.5,31.1%,35.4,0.2
2 Pointers,5.7,10.9,52.3,68.9%,50.4,1.9
Less Than 6 Ft,3.4,5.6,60.0,35.4%,61.7,-1.7
Less Than 10 Ft,4.0,7.1,55.6,44.9%,56.5,-0.9
Greater Than 15 Ft,3.0,7.5,39.5,47.6%,37.0,2.4
