DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,4.3,9.0,47.4,100%,45.4,2.0
3 Pointers,1.3,3.4,37.3,37.3%,36.1,1.2
2 Pointers,3.0,5.7,53.4,62.7%,50.0,3.4
Less Than 6 Ft,2.0,2.8,71.6,31.3%,61.0,10.6
Less Than 10 Ft,2.3,3.6,63.3,39.5%,55.8,7.5
Greater Than 15 Ft,1.8,5.0,35.5,55.0%,37.6,-2.1
