,BREAKDOWN,GP,MIN,PTS,W,L,WIN%,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,+/-,OPP FGM,OPP FGA,OPP FG%,OPP 3PM,OPP 3PA,OPP 3P%,OPP FTM,OPP FTA,OPP FT%,OPP OREB,OPP DREB,OPP REB,OPP AST,OPP TOV,OPP STL,OPP BLK,OPP BLKA,OPP PF,OPP PTS
0,2016-17,52,48.4,111.0,36,16,0.692,39.6,85.6,46.3,13.0,33.5,38.8,18.8,25.0,75.2,10.0,34.1,44.1,22.1,14.0,7.3,4.1,18.0,5.1,40.3,88.4,45.6,10.2,28.3,36.1,15.1,19.6,77.2,10.9,32.9,43.8,24.2,13.6,7.7,4.9,4.1,21.5,105.9
1,Home,27,48.4,113.7,22,5,0.815,41.4,86.8,47.7,12.9,33.5,38.5,18.1,24.8,72.8,10.4,35.1,45.5,24.7,12.9,7.4,4.7,18.0,10.1,39.2,88.7,44.2,10.1,28.7,35.1,15.1,19.5,77.4,10.7,31.7,42.4,24.6,13.0,6.9,4.2,4.7,21.7,103.6
2,Road,25,48.4,108.0,14,11,0.56,37.6,84.2,44.7,13.1,33.5,39.2,19.6,25.2,77.7,9.6,32.9,42.5,19.4,15.2,7.2,3.4,18.0,-0.4,41.4,88.2,47.0,10.4,27.8,37.2,15.2,19.7,77.0,11.1,34.1,45.2,23.8,14.2,8.4,5.6,3.4,21.3,108.4
3,Wins,36,48.3,116.1,36,0,1.0,41.6,86.8,47.9,13.9,34.6,40.2,18.9,24.6,76.9,10.2,35.0,45.2,23.9,13.0,7.5,4.4,17.8,12.2,39.2,88.0,44.6,9.8,28.1,34.9,15.6,19.9,78.2,10.8,31.6,42.3,23.2,13.6,7.1,4.6,4.4,21.5,103.9
4,Losses,16,48.6,99.5,0,16,0.0,35.0,82.8,42.3,10.9,31.0,35.3,18.6,25.9,71.6,9.7,31.9,41.6,18.1,16.3,6.9,3.3,18.6,-11.0,42.7,89.3,47.8,11.1,28.7,38.6,14.1,18.8,74.8,11.3,35.8,47.1,26.4,13.6,8.9,5.6,3.3,21.4,110.5
5,October,3,48.0,105.3,3,0,1.0,38.0,87.0,43.7,12.0,34.7,34.6,17.3,23.7,73.2,11.0,32.7,43.7,22.7,14.0,9.3,4.7,21.3,12.7,35.0,87.0,40.2,7.0,23.7,29.6,15.7,21.3,73.4,14.7,33.0,47.7,16.7,19.0,7.0,4.7,4.7,21.7,92.7
6,November,13,48.0,112.7,10,3,0.769,39.5,86.8,45.4,14.2,35.6,40.0,19.5,24.9,78.4,10.2,35.5,45.7,22.9,12.9,6.3,4.9,17.0,6.4,41.2,90.0,45.7,10.7,29.2,36.6,13.3,17.5,76.2,9.8,32.5,42.4,24.5,11.7,6.8,5.5,4.9,21.8,106.3
7,December,16,48.3,110.5,12,4,0.75,39.3,83.5,47.1,12.8,31.3,40.8,19.1,25.6,74.8,9.9,33.0,42.9,22.3,13.9,7.6,3.3,18.6,7.0,38.6,85.6,45.1,9.9,27.9,35.4,16.4,21.0,78.0,11.1,31.7,42.8,24.3,13.8,7.6,4.3,3.3,21.8,103.5
8,January,15,48.7,106.9,7,8,0.467,38.7,86.3,44.8,11.7,33.5,34.8,17.9,24.9,72.1,10.0,34.2,44.2,20.1,14.8,7.6,3.8,17.7,-1.1,41.1,88.7,46.3,10.7,29.5,36.4,15.1,19.2,78.8,10.5,35.2,45.7,25.1,14.3,8.3,5.2,3.8,21.1,108.0
9,February,5,49.0,123.4,4,1,0.8,44.4,85.6,51.9,15.2,34.4,44.2,19.4,24.8,78.2,9.2,34.2,43.4,25.2,14.6,7.2,4.6,17.6,9.2,44.2,93.4,47.3,10.4,26.6,39.1,15.4,20.6,74.8,12.0,30.4,42.4,25.2,12.4,8.4,4.4,4.6,21.0,114.2
