DEFENSE CATEGORY,DFGM,DFGA,DFG%,FREQ,FG%,DIFF%
Overall,2.3,5.8,39.2,100%,44.0,-4.8
3 Pointers,0.9,2.6,34.8,45.8%,36.2,-1.4
2 Pointers,1.4,3.1,42.9,54.2%,48.7,-5.7
Less Than 6 Ft,0.7,1.1,63.6,18.3%,59.0,4.6
Less Than 10 Ft,0.8,1.6,53.1,26.9%,53.8,-0.8
Greater Than 15 Ft,1.3,3.7,34.2,64.1%,37.3,-3.1
